"","CTSV","SPARKX","CTSV","SPARKX","CTSV","SPARKX"
"cell-type 1",1,0.375,0.8,0,1,0
"cell-type 2",0.995,0.095,0.785,0,0.94,0
"cell-type 3",0.98,0,0.605,0,0.97,0
"cell-type 4",0.975,0,0.515,0,0.98,0
"cell-type 5",0.995,0,0.78,0,0.97,0
"cell-type 6",0.995,0,0.905,0,0.995,0
