"","Emark","markcorr","markvario","Vmark"
"Gene1",0.533425793804259,0.425737234978571,0.415742793791574,0.508795807522546
"Gene2",0.737374761505351,0.425737234978571,0.415742793791574,0.487361102085905
"Gene3",0.533425793804259,0.45004500450045,0.415742793791574,0.487361102085905
"Gene4",0.513901022663035,0.45004500450045,0.415742793791574,0.487361102085905
"Gene5",0.557998348324889,0.425737234978571,0.415742793791574,0.663155102504832
"Gene6",0.513901022663035,0.425737234978571,0.415742793791574,0.508795807522546
"Gene7",0.513901022663035,0.425737234978571,0.415742793791574,0.487361102085905
"Gene8",0.533425793804259,0.425737234978571,0.415742793791574,0.546986106552894
"Gene9",0.513901022663035,0.496716702595841,0.642013353877761,0.508795807522546
"Gene10",0.513901022663035,0.425737234978571,0.415742793791574,0.474225826338502
"Gene11",0.513901022663035,0.425737234978571,0.415742793791574,0.478973081712808
"Gene12",0.605724092675786,0.496716702595841,0.562672318397509,0.487361102085905
"Gene13",0.605724092675786,0.425737234978571,0.415742793791574,0.487361102085905
"Gene14",0.533425793804259,0.425737234978571,0.415742793791574,0.478973081712808
"Gene15",0.557998348324889,0.45004500450045,0.495849737695489,0.478973081712808
"Gene16",0.557998348324889,0.425737234978571,0.415742793791574,0.487361102085905
"Gene17",0.513901022663035,0.425737234978571,0.415742793791574,0.508795807522546
"Gene18",0.513901022663035,0.425737234978571,0.415742793791574,0.508795807522546
"Gene19",0.513901022663035,0.425737234978571,0.415742793791574,0.474225826338502
"Gene20",0.513901022663035,0.45004500450045,0.415742793791574,0.474225826338502
"Gene21",0.557998348324889,0.425737234978571,0.415742793791574,0.478973081712808
"Gene22",0.557998348324889,0.425737234978571,0.415742793791574,0.487361102085905
"Gene23",0.663293346220176,0.45004500450045,0.445960710861373,0.546986106552894
"Gene24",0.663293346220176,0.425737234978571,0.415742793791574,0.546986106552894
"Gene25",0.513901022663035,0.425737234978571,0.415742793791574,0.546986106552894
"Gene26",0.533425793804259,0.425737234978571,0.415742793791574,0.546986106552894
"Gene27",0.513901022663035,0.496716702595841,0.445960710861373,0.546986106552894
"Gene28",0.513901022663035,0.425737234978571,0.415742793791574,0.508795807522546
"Gene29",0.513901022663035,0.425737234978571,0.445960710861373,0.474225826338502
"Gene30",0.663293346220176,0.563544318064413,0.415742793791574,0.546986106552894
"Gene31",0.513901022663035,0.425737234978571,0.562672318397509,0.546986106552894
