"","combinedPval","adjustedPval"
"Gene1",0.643259628122234,1
"Gene2",0.0577303049158807,1
"Gene3",0.708721817448062,1
"Gene4",0.0867398041976706,1
"Gene5",0.174783973259941,1
"Gene6",0.774984507683457,1
"Gene7",0.553997005062573,1
"Gene8",0.406074062272285,1
"Gene9",0.234958516741115,1
"Gene10",0.434789810046086,1
"Gene11",0.0522029124172601,1
"Gene12",0.521274092764776,1
"Gene13",0.0157229638922782,1
"Gene14",0.76389806488341,1
"Gene15",0.855068610928009,1
"Gene16",0.716117107184312,1
"Gene17",0.701302747297345,1
"Gene18",0.748833067623746,1
"Gene19",0.968229152977878,1
"Gene20",0.806352107436241,1
"Gene21",0.762962353998931,1
"Gene22",0.917961395519917,1
"Gene23",0.694912050937066,1
"Gene24",0.438258155522264,1
"Gene25",0.474594543714345,1
"Gene26",0.916679230774049,1
"Gene27",0.953617484251304,1
"Gene28",0.740433140553735,1
"Gene29",0.266255900656906,1
"Gene30",0.779399620825515,1
"Gene31",0.662877240950427,1
"Gene32",0.837127110663985,1
"Gene33",0.823197049340711,1
"Gene34",0.709540193050728,1
"Gene35",0.618309863786608,1
"Gene36",0.112646455652974,1
"Gene37",0.499503597558773,1
"Gene38",0.124987363261981,1
"Gene39",0.164652013071889,1
"Gene40",0.628363578731709,1
"Gene41",0.372400055946466,1
"Gene42",0.26279358946082,1
"Gene43",0.609516349066163,1
"Gene44",0.300185645763198,1
"Gene45",0.675951632634674,1
"Gene46",0.70081265946667,1
"Gene47",0.238257522281272,1
"Gene48",0.686472374318584,1
"Gene49",0.392101633766987,1
"Gene50",0.926217829371798,1
"Gene51",0.523017111622841,1
"Gene52",0.693945432890899,1
"Gene53",0.331895478324691,1
"Gene54",0.847633847433537,1
"Gene55",0.0376489367660335,1
"Gene56",0.618687168091819,1
"Gene57",0.698283579912933,1
"Gene58",0.839224707443711,1
"Gene59",0.628657090697003,1
"Gene60",0.391620098828028,1
"Gene61",0.607442230188167,1
"Gene62",0.497722662580719,1
"Gene63",0.406530296041955,1
"Gene64",0.889239193150862,1
"Gene65",0.663719356145206,1
"Gene66",0.637555421423161,1
"Gene67",0.871285306368847,1
"Gene68",0.377834737103779,1
"Gene69",0.287989138821775,1
"Gene70",0.919721222639953,1
"Gene71",0.281898822146891,1
"Gene72",0.136307570327556,1
"Gene73",0.255984810929072,1
"Gene74",0.94993217604751,1
"Gene75",0.245433287365857,1
"Gene76",0.687930787959522,1
"Gene77",0.46760480256317,1
"Gene78",0.18091490719251,1
"Gene79",0.351503712123354,1
"Gene80",0.25549134853706,1
"Gene81",0.782175518566911,1
"Gene82",0.529231700529758,1
"Gene83",0.396057992536765,1
"Gene84",0.758097673052205,1
"Gene85",0.24620015092333,1
"Gene86",0.85351658312381,1
"Gene87",0.360755970622293,1
"Gene88",0.412504158162648,1
"Gene89",0.779344876818891,1
"Gene90",0.69612608568593,1
"Gene91",0.821283579960944,1
"Gene92",0.254777644015502,1
"Gene93",0.724848626507521,1
"Gene94",0.454241378153533,1
"Gene95",0.382518855798415,1
"Gene96",0.104461946876816,1
"Gene97",0.727928351127998,1
"Gene98",0.39453060930835,1
"Gene99",0.942700167782565,1
"Gene100",0.442410907107762,1
"Gene101",0.970034519425393,1
"Gene102",0.634335414642299,1
"Gene103",0.217556736113129,1
"Gene104",0.698403580536921,1
"Gene105",0.342312916591693,1
"Gene106",0.0490361087852992,1
"Gene107",0.359273021756556,1
"Gene108",0.892887061740806,1
"Gene109",0.869788718560876,1
"Gene110",0.531914374169665,1
"Gene111",0.134396479169968,1
"Gene112",0.146016083339421,1
"Gene113",0.866462330263015,1
"Gene114",0.151428833741453,1
"Gene115",0.380908837323527,1
"Gene116",0.253989547926986,1
"Gene117",0.0173838233404364,1
"Gene118",0.216491777195462,1
"Gene119",0.405437109719286,1
"Gene120",0.899244780282167,1
"Gene121",0.108501902071294,1
"Gene122",0.986729495997289,1
"Gene123",0.357491984805705,1
"Gene124",0.439219744557828,1
"Gene125",0.998552554974076,1
"Gene126",0.252717503316493,1
"Gene127",0.941358403239536,1
"Gene128",0.987269474565662,1
"Gene129",0.776776369412353,1
"Gene130",0.318366699658346,1
"Gene131",0.489446177188523,1
"Gene132",0.20739106319587,1
"Gene133",0.581223484347822,1
"Gene134",0.487062190985918,1
"Gene135",0.968238180002521,1
"Gene136",0.23269088256094,1
"Gene137",0.114064571532141,1
"Gene138",0.387121681756986,1
"Gene139",0.626066474661498,1
"Gene140",0.0278227445876552,1
"Gene141",0.761270696524262,1
"Gene142",0.173106110344492,1
"Gene143",0.649169749130437,1
"Gene144",0.905258215500093,1
"Gene145",0.848752838530589,1
"Gene146",0.492055437661578,1
"Gene147",0.521299809528697,1
"Gene148",0.956889282555233,1
"Gene149",0.0983295971227951,1
"Gene150",0.465975459461954,1
"Gene151",0.654762166142764,1
"Gene152",0.88606002074534,1
"Gene153",0.444729169609348,1
"Gene154",0.754637693866236,1
"Gene155",0.755263019175256,1
"Gene156",0.119931758658508,1
"Gene157",0.690530274078005,1
"Gene158",0.40478681623349,1
"Gene159",0.985432995170114,1
"Gene160",0.884986598012148,1
"Gene161",0.829451130827372,1
"Gene162",0.157010460958701,1
"Gene163",0.0198310903127963,1
"Gene164",0.399323865651509,1
"Gene165",0.875980345565538,1
"Gene166",0.967292129506634,1
"Gene167",0.014312892104565,1
"Gene168",0.0688207227635238,1
"Gene169",0.110189835411726,1
"Gene170",0.143066766813173,1
"Gene171",0.234592693956597,1
"Gene172",0.464670131941572,1
"Gene173",0.484908454374725,1
"Gene174",0.483236579200038,1
"Gene175",0.485702082609564,1
"Gene176",0.425594235103058,1
"Gene177",0.629740142422115,1
"Gene178",0.548885636711081,1
"Gene179",0.916148290916253,1
"Gene180",0.713122154812824,1
"Gene181",0.929508182664116,1
"Gene182",0.0156592452577626,1
"Gene183",0.649893547710503,1
"Gene184",0.00617145283881682,1
"Gene185",0.904683890276563,1
"Gene186",0.340748866107102,1
"Gene187",0.913712172821195,1
"Gene188",0.0627108971796022,1
"Gene189",0.646236308833223,1
"Gene190",0.290388245756041,1
"Gene191",0.297782065641427,1
"Gene192",0.679922596541301,1
"Gene193",0.68015859008522,1
"Gene194",0.90701706068454,1
"Gene195",0.139172453538337,1
"Gene196",0.0702629497457566,1
"Gene197",0.367840645885082,1
"Gene198",0.128137201388661,1
"Gene199",0.905342514065212,1
"Gene200",0.0156034246689656,1
"Gene201",0.325397987692325,1
"Gene202",0.00455614725881537,1
"Gene203",0.361449952422729,1
"Gene204",0.051446431767418,1
"Gene205",0.200518204874956,1
"Gene206",0.148800839473984,1
"Gene207",0.136947181600846,1
"Gene208",0.568758802192416,1
"Gene209",0.18985151478217,1
"Gene210",0.0274739944321631,1
"Gene211",0.00490531502423253,1
"Gene212",0.939759241049414,1
"Gene213",0.403976592896012,1
"Gene214",0.878797745571925,1
"Gene215",0.000175556534351307,0.781035543310855
"Gene216",0.0816741360897939,1
"Gene217",0.905618178208675,1
"Gene218",0.00417051590525785,1
"Gene219",0.492817055246316,1
"Gene220",0.454629075347058,1
"Gene221",0.803379557940922,1
"Gene222",0.183120480676518,1
"Gene223",0.0976609919278952,1
"Gene224",0.794380462317,1
"Gene225",0.00920413646672635,1
"Gene226",0.103322586199838,1
"Gene227",0.156153072156665,1
"Gene228",0.278200538546068,1
"Gene229",0.0073714944311436,1
"Gene230",0.155418428987612,1
"Gene231",0.223609962015763,1
"Gene232",0.0528202646325859,1
"Gene233",0.038178617263201,1
"Gene234",0.1927401905333,1
"Gene235",0.0481131856034918,1
"Gene236",0.43723049634205,1
"Gene237",0.949223483478475,1
"Gene238",0.0108205245171019,1
"Gene239",0.989137583784274,1
"Gene240",0.039562379265847,1
"Gene241",0.0411608286654674,1
"Gene242",0.0174196484860744,1
"Gene243",0.225635390625299,1
"Gene244",0.927780382945123,1
"Gene245",0.00137423993658348,1
"Gene246",0.00562671191856001,1
"Gene247",0.0197854571714179,1
"Gene248",0.118807991420151,1
"Gene249",0.00610471347813835,1
