"","l","BF","PPI","pval","time"
"Gene5458",0,0.0205834130884,0,0.839216244980779,13.3257493
"Gene5459",0,0,0,0.99,13.3257493
"Gene5460",0,0,0,0.99,13.3257493
"Gene5461",0,0,0,0.99,13.3257493
"Gene5462",0,0,0,0.99,13.3257493
"Gene5463",0,0,0,0.99,13.3257493
"Gene5464",0,0,0,0.99,13.3257493
"Gene5465",0,0.0732685463365499,0,0.701866848227473,13.3257493
"Gene5466",0,0,0,0.99,13.3257493
"Gene5467",0,0.0807630774044583,0,0.687755292655032,13.3257493
"Gene5468",0,0,0,0.99,13.3257493
"Gene5469",0,0.249323562338589,0,0.480095167745511,13.3257493
"Gene5470",0,0,0,0.99,13.3257493
"Gene5471",0,0.528526128979132,0,0.30388846065368,13.3257493
"Gene5472",0,0,0,0.99,13.3257493
"Gene5473",0,0,0,0.99,13.3257493
"Gene5474",0,0,0,0.99,13.3257493
"Gene5475",0,0,0,0.99,13.3257493
"Gene5476",0,0,0,0.99,13.3257493
"Gene5477",0,0.200284605475025,0,0.526795438995201,13.3257493
"Gene5478",0,0.26460102361691,0,0.46694252867779,13.3257493
"Gene5479",0,0.107261801143352,0,0.643244720524959,13.3257493
"Gene5480",0,0.29808438597866,0,0.440043558086993,13.3257493
"Gene5481",0.075562808896715,0.554225019004377,0.08,0.292419124174608,13.3257493
"Gene5482",0,0,0,0.99,13.3257493
"Gene5483",0,0.187125042092077,0,0.540696673533236,13.3257493
"Gene5484",0,0,0,0.99,13.3257493
"Gene5485",0,0.130516464293646,0,0.609411405569171,13.3257493
"Gene5486",0,0.0455033684088221,0,0.7629011785394,13.3257493
"Gene5487",0,0,0,0.99,13.3257493
"Gene5488",0,0.401336541550251,0,0.370295361426778,13.3257493
"Gene5489",0,0,0,0.99,13.3257493
"Gene5490",0,0,0,0.99,13.3257493
"Gene5491",0,0.0995604610725025,0,0.655431349899775,13.3257493
"Gene5492",0,0,0,0.99,13.3257493
"Gene5493",0,0.642030828576713,0,0.257145202608584,13.3257493
"Gene5494",0,0,0,0.99,13.3257493
"Gene5495",0,0,0,0.99,13.3257493
"Gene5496",0,0.9008709250344,0,0.179502056265569,13.3257493
"Gene5497",0,0.1325942342563,0,0.606577805421664,13.3257493
"Gene5498",0,0.562094903193622,0,0.289018065683297,13.3257493
"Gene5499",0,0.362954719881077,0,0.394212320229049,13.3257493
"Gene5500",0,0.148518008304916,0,0.58574656643777,13.3257493
"Gene5501",0,0,0,0.99,13.3257493
"Gene5502",0,0.381700624386582,0,0.382266202106106,13.3257493
"Gene5503",0,0,0,0.99,13.3257493
"Gene5504",0,0,0,0.99,13.3257493
"Gene5505",0,0.188787242915959,0,0.538904197501522,13.3257493
"Gene5506",0,0,0,0.99,13.3257493
"Gene5507",0,0,0,0.99,13.3257493
"Gene5508",0,0,0,0.99,13.3257493
"Gene5509",0,0,0,0.99,13.3257493
"Gene5510",0,0.15479568244383,0,0.57793104846012,13.3257493
"Gene5511",0,0.145343558547677,0,0.589780545637824,13.3257493
"Gene5512",0,0.00340160175283017,0,0.934263801764383,13.3257493
"Gene5513",0,0,0,0.99,13.3257493
"Gene5514",0,0.449892154345946,0,0.342839552492544,13.3257493
"Gene5515",0,0,0,0.99,13.3257493
"Gene5516",0,0,0,0.99,13.3257493
"Gene5517",0,0,0,0.99,13.3257493
"Gene5518",0,0,0,0.99,13.3257493
"Gene5519",0,0,0,0.99,13.3257493
"Gene5520",0,0,0,0.99,13.3257493
"Gene5521",0.0242807346269102,0.896181307591689,0.34,0.180638566639171,13.3257493
