"","combinedPval","adjustedPval"
"Gene1",0.174792509691249,1
"Gene2",0.558795633567247,1
"Gene3",0.352905186875151,1
"Gene4",0.277623497975705,1
"Gene5",0.442396150947389,1
"Gene6",0.367616008205587,1
"Gene7",0.840081268844857,1
"Gene8",0.798672355752259,1
"Gene9",0.0818000214335362,1
"Gene10",0.519398678671199,1
"Gene11",0.960061748994946,1
"Gene12",0.582236741614559,1
"Gene13",0.626964245588921,1
"Gene14",0.0600900331866414,1
"Gene15",0.084862504527923,1
"Gene16",0.238130800878658,1
"Gene17",0.171677134867771,1
"Gene18",0.755581468304108,1
"Gene19",0.883274571923845,1
"Gene20",0.909842893929742,1
"Gene21",0.596359368189557,1
"Gene22",0.976121683843558,1
"Gene23",0.858570724078196,1
"Gene24",0.99296517154166,1
"Gene25",0.404207406195801,1
"Gene26",0.787664523431798,1
"Gene27",0.58944042599859,1
"Gene28",0.267558298790491,1
"Gene29",0.684602861365477,1
"Gene30",0.0598821443228771,1
"Gene31",0.808697146497193,1
"Gene32",0.244718700364846,1
"Gene33",0.451783441322302,1
"Gene34",0.722582567861176,1
"Gene35",0.10689535397767,1
"Gene36",0.199596346931518,1
"Gene37",0.0140550618189451,1
"Gene38",0.0716746395756892,1
"Gene39",0.786523586673954,1
"Gene40",0.533534645156015,1
"Gene41",0.684936600986744,1
"Gene42",0.0154096628411218,1
"Gene43",0.00386324963126838,1
"Gene44",0.206501976634992,1
"Gene45",0.45690453573573,1
"Gene46",0.921068434739775,1
"Gene47",0.332340708871713,1
"Gene48",0.0999730654498528,1
"Gene49",0.659794764556963,1
"Gene50",0.417412609506679,1
"Gene51",0.96513037308837,1
"Gene52",0.243862418936961,1
"Gene53",0.0582156647000891,1
"Gene54",0.148324388672229,1
"Gene55",0.262072366073635,1
"Gene56",0.226886304760245,1
"Gene57",0.273559254425431,1
"Gene58",0.313140540611875,1
"Gene59",0.648256130740282,1
"Gene60",0.737852180764478,1
"Gene61",0.428675015403266,1
"Gene62",0.614175349939501,1
"Gene63",0.113806286366061,1
"Gene64",0.167385404183288,1
"Gene65",0.383266429281883,1
"Gene66",0.0678857796399689,1
"Gene67",0.0847556111164006,1
"Gene68",0.93837215816342,1
"Gene69",0.761957132349258,1
"Gene70",0.283836400873005,1
"Gene71",0.340440253330954,1
"Gene72",0.969918089843641,1
"Gene73",0.130210788177057,1
"Gene74",0.0788807163138634,1
"Gene75",0.661607864576789,1
"Gene76",0.709268642268262,1
"Gene77",0.810473301390369,1
"Gene78",0.933448030842002,1
"Gene79",0.214339925577032,1
"Gene80",0.790671469260414,1
"Gene81",0.43404719172653,1
"Gene82",0.159864052061189,1
"Gene83",0.0601135649086957,1
"Gene84",0.13396769466665,1
"Gene85",0.329363129318841,1
"Gene86",0.172838567311591,1
"Gene87",0.755499342960142,1
"Gene88",0.239561781088878,1
"Gene89",0.434565931186552,1
"Gene90",0.463345231503153,1
"Gene91",0.683476520992381,1
"Gene92",0.220888800027338,1
"Gene93",0.782834145465238,1
"Gene94",0.0182830146619442,1
"Gene95",0.858342809530787,1
"Gene96",0.294871618368818,1
"Gene97",0.69560075162747,1
"Gene98",0.348846084973421,1
"Gene99",0.497879190654395,1
"Gene100",0.0496286007041697,1
"Gene101",0.973026763985284,1
"Gene102",0.0992658962414275,1
"Gene103",0.0935792385173404,1
"Gene104",0.613846449566471,1
"Gene105",0.562632951151449,1
"Gene106",0.925527711190025,1
"Gene107",0.961359329038098,1
"Gene108",0.363627058413131,1
"Gene109",0.297178330141364,1
"Gene110",0.472741039659133,1
"Gene111",0.978102045474824,1
"Gene112",0.35845671330401,1
"Gene113",0.0253592540706054,1
"Gene114",0.735238283604396,1
"Gene115",0.132290580792959,1
"Gene116",0.00176761938739123,1
"Gene117",0.801717091663545,1
"Gene118",0.0279907778391137,1
"Gene119",0.150988188673624,1
"Gene120",0.718497691948078,1
"Gene121",0.204815679240482,1
"Gene122",0.0474131471054252,1
"Gene123",0.0844586876029645,1
"Gene124",0.420405025642626,1
"Gene125",0.134661884941794,1
"Gene126",0.582815778140641,1
"Gene127",0.850032747806467,1
"Gene128",0.955012102511857,1
"Gene129",0.829923360170921,1
"Gene130",0.0874236299076737,1
"Gene131",0.192838973320295,1
"Gene132",0.962700489343175,1
"Gene133",0.124510808836031,1
"Gene134",0.0638433476342961,1
"Gene135",0.0856256952125045,1
"Gene136",0.429543965819794,1
"Gene137",0.928945966653644,1
"Gene138",0.435331459535444,1
"Gene139",0.859479884797549,1
"Gene140",0.238205480011148,1
"Gene141",0.919191784011959,1
"Gene142",0.527110689964569,1
"Gene143",0.00543059833702741,1
"Gene144",0.12032609772327,1
"Gene145",0.909239981945989,1
"Gene146",0.0607178444163526,1
"Gene147",0.614467794573697,1
"Gene148",0.88785015982656,1
"Gene149",0.318704643671789,1
"Gene150",0.406326054814088,1
"Gene151",0.753198902800358,1
"Gene152",0.496141672972861,1
"Gene153",0.0163844395493211,1
"Gene154",0.443698335098097,1
"Gene155",0.152049610832362,1
"Gene156",0.78572701228932,1
"Gene157",0.563084176862907,1
"Gene158",0.208098198776037,1
"Gene159",0.0634411804831303,1
"Gene160",0.464703285840026,1
"Gene161",0.152569115577217,1
"Gene162",0.0678108017481336,1
"Gene163",0.411526830590914,1
"Gene164",0.00686905611639488,1
"Gene165",0.940610171998588,1
"Gene166",0.816046906653758,1
"Gene167",0.0483161988543124,1
