"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.61629547139607,0.0793050555150087,0.0681544122908573,0.733320350875495,0.0287130517742427,0.634489384349802,0.189039715803271,0.918193866766564,0.726946842056885,0.655676574754111,0.120861183206506,0.564966700353153
"Gene2",0.0356009809988451,0.281770814267478,0.928613026000365,0.444118537852609,0.169844678263079,0.182454533054953,0.79831378216892,0.666239117576809,0.516074961716224,0.106890495316689,0.157680075919893,0.718440314856865
"Gene3",0.402479238427766,0.733374587624631,0.751122686396117,0.935136360295371,0.531667749053523,0.982695947588133,0.275922705731651,0.366484761167303,0.943291434378216,0.152487948846739,0.739018758978074,0.923095528095833
"Gene4",0.0343589290402126,0.797584688997312,0.570250674011813,0.20466775751995,0.186031718112205,0.727959556322251,0.575190427258327,0.583297233977205,0.64644183781803,0.965597064537734,0.571994825070585,0.195943476018086
"Gene5",0.484227495502249,0.171481959377269,0.588918847621279,0.599741439964586,0.331605987327015,0.745409018657003,0.333201762474978,0.854405209896325,0.807244797988119,0.821287236172275,0.241667113137747,0.395394529768131
"Gene6",0.327938925762611,0.40023965763062,0.995841137853375,0.44850560631544,0.905913989581801,0.39409410962757,0.939104484788793,0.452612394600726,0.99647406538626,0.866939230998732,0.425934296299841,0.4224154442562
"Gene7",0.417946178415615,0.925894428803963,0.926695076354858,0.327793070063492,0.0345321555977123,0.00953541914750277,0.563240416071935,0.624311172483898,0.475880793064744,0.284090120830988,0.677446400662419,0.110214079814344
"Gene8",0.339740517724441,0.0353490530362116,0.882072062184994,0.205640139769733,0.761493159114624,0.410344545172309,0.102883206294769,0.0253943702997678,0.732732183358116,0.629573977440461,0.871131702045962,0.292278910202331
"Gene9",0.789399163042,0.943565889507922,0.884266101690901,0.870643051430304,0.52564058900612,0.120649456891653,0.764906224093715,0.352916498410493,0.486711642753019,0.444324942674034,0.740311239668459,0.382360719847236
"Gene10",0.714548864337584,0.0744258666042766,0.568305913890156,0.953760487918991,0.917939464880659,0.378119384186548,0.853757522683143,0.693536369800992,0.842461584560207,0.995880063349898,0.970043345618627,0.591404563564893
"Gene11",0.605493531653464,0.292903983897326,0.497152415323893,0.537217416783385,0.592910977516368,0.442470073269859,0.0205011065762461,0.791887370351928,0.658821304714655,0.53040154998436,0.425132354198356,0.402501336475536
"Gene12",0.470630014523526,0.757233081616689,0.0147135527991234,0.145463793681915,0.0361642398649388,0.765816723737166,0.702418505767819,0.869729048910281,0.69727302629715,0.193041077765928,0.780602199476715,0.893746849359396
"Gene13",0.847383776358209,0.658798494278218,0.762323607622299,0.54605920754085,0.627433757594009,0.26315377053605,0.891885695339205,0.8675511766288,0.875596293710925,0.457650595117354,0.246381004207098,0.547237671762069
"Gene14",0.79593835644532,0.993765425188561,0.213033175076808,0.238289263094828,0.447668862354939,0.593970867581828,0.829430218979649,0.617433197973788,0.431938017707429,0.755489775345115,0.481811567156406,0.128186407812588
"Gene15",0.772249386158886,0.0919895050674978,0.563139562805039,0.511404347489224,0.0979191322667336,0.840683228325565,0.33584036899275,0.232144116074539,0.159631787215335,0.97639760997875,0.101410393322707,0.507519562195407
"Gene16",0.525456180075653,0.726502502655057,0.78919071416963,0.818617117556935,0.769441134945633,0.649694985202903,0.926513136552903,0.420469838168361,0.956727495771466,0.180162472961915,0.815976698377409,0.0376611315675521
"Gene17",0.0560563317181966,0.387432046121622,0.968233479349565,0.83248978938822,0.764434112812857,0.739391042750066,0.309875404237669,0.137116271408967,0.635910913989916,0.36550267587662,0.175119851552241,0.387567348992647
"Gene18",0.96059764097005,0.267690962266169,0.616590659070801,0.335822865822409,0.164197697993833,0.154794010984084,0.483047003213168,0.434672765496356,0.202086398647599,0.5267426991277,0.0573863816377133,0.120907362560591
"Gene19",0.191302193865738,0.302792636049517,0.34045883477002,0.696620545660846,0.615840955158926,0.658112955656754,0.0272945002137934,0.125573165988789,0.849017388593822,0.801038473964327,0.992734717902542,0.292590757409371
"Gene20",0.607881655755879,0.381349387507597,0.261641251763291,0.0786333215993,0.0258920303977607,0.480177811519363,0.450259861552872,0.0480209586682571,0.452159306248726,0.0582295519648672,0.294947353516719,0.307763440097915
"Gene21",0.343264778549775,0.846769727115149,0.377414484953794,0.929893981846673,0.595264930654613,0.544568835939132,0.954341787135269,0.742412575929328,0.499635067307651,0.412615908399576,0.556538861348484,0.685492723140912
"Gene22",0.536083302015875,0.666838449474085,0.869017852033558,0.897421541737574,0.269238329797865,0.752242325598358,0.201957714994857,0.124801775522903,0.777669761236218,0.116785882501092,0.534334332344817,0.200829939511261
"Gene23",0.172159394056867,0.356168325429172,0.80979759128974,0.354495978948786,0.924360340497146,0.317749775935545,0.521907141105944,0.421224931547464,0.992041985081267,0.481100391047855,0.529480594557832,0.159039506118643
"Gene24",0.850926508369797,0.687647414717972,0.904801337527539,0.941881339227127,0.36049201258585,0.135676934586485,0.784819303549854,0.0823981749142308,0.0412360238288446,0.676594640533866,0.262004255697656,0.130468078845869
"Gene25",0.990808489525399,0.697372549434055,0.313143162389058,0.204437016547332,0.491736970712765,0.669236859140827,0.505346627363002,0.582183637957027,0.552789125071369,0.240068824694893,0.65789405923121,0.733698107510616
"Gene26",0.65138881801537,0.983901496750956,0.715047338567022,0.102334928370433,0.840270988257846,0.179524994515053,0.721040141792099,0.331297902915685,0.783742627210387,0.32330791340916,0.107824484572637,0.0394509624116024
"Gene27",0.838725245489635,0.974222310526241,0.146312852518259,0.40251474741765,0.501266497706138,0.0916737198641216,0.0800764890956234,0.683280575071946,0.968406997089288,0.743647270062389,0.61496213272431,0.177259421139326
"Gene28",0.0885312368361456,0.880986668367554,0.897452374696189,0.224897122374188,0.468532003448827,0.0640693168084365,0.337876077148455,0.572507299670839,0.783432264534465,0.514921710199842,0.310214734485957,0.639184415118222
