"","l","BF","PPI","pval","time"
"Gene1345",0,0,0,0.99,13.372066
"Gene1346",0,0.164483098807915,0,0.56626846337317,13.372066
"Gene1347",0,0.0948794340862321,0,0.663117385227717,13.372066
"Gene1348",0,0,0,0.99,13.372066
"Gene1349",0,0,0,0.99,13.372066
"Gene1350",0,0,0,0.99,13.372066
"Gene1351",0,0.199747543538467,0,0.527350130148047,13.372066
"Gene1352",0,0.152988786967575,0,0.580159060363609,13.372066
"Gene1353",0,0,0,0.99,13.372066
"Gene1354",0,0,0,0.99,13.372066
"Gene1355",0,0.103756440440378,0,0.648723805778986,13.372066
"Gene1356",0,0.256796078840347,0,0.473587959534663,13.372066
"Gene1357",0,0,0,0.99,13.372066
"Gene1358",0,0,0,0.99,13.372066
"Gene1359",0,0.0323736938351431,0,0.799144003246045,13.372066
"Gene1360",0,0.0441429155033802,0,0.766367782822665,13.372066
"Gene1361",0,0,0,0.99,13.372066
"Gene1362",0,0,0,0.99,13.372066
"Gene1363",0,0.191289623559874,0,0.536226089204128,13.372066
"Gene1364",0,0,0,0.99,13.372066
"Gene1365",0,0.146334372795104,0,0.588515389208757,13.372066
"Gene1366",0,0,0,0.99,13.372066
"Gene1367",0,0,0,0.99,13.372066
"Gene1368",0,0.111565328653876,0,0.63666479840592,13.372066
"Gene1369",0,0,0,0.99,13.372066
"Gene1370",0,0,0,0.99,13.372066
"Gene1371",0,0.0588640763187811,0,0.731511673578251,13.372066
"Gene1372",0,0,0,0.99,13.372066
"Gene1373",0,0.30975204368886,0,0.431231629877675,13.372066
"Gene1374",0,0,0,0.99,13.372066
"Gene1375",0,0.210558382524431,0,0.516380325617266,13.372066
"Gene1376",0,0.0654445954120831,0,0.717511871181102,13.372066
"Gene1377",0,0,0,0.99,13.372066
"Gene1378",0,0,0,0.99,13.372066
"Gene1379",0,0,0,0.99,13.372066
"Gene1380",0.0332551092930654,0.650061207732915,0.06,0.254190864224242,13.372066
"Gene1381",0,0.16863671432024,0,0.561407294582848,13.372066
"Gene1382",0,0.0632479162597008,0,0.722093312101718,13.372066
"Gene1383",0,0.323716752396138,0,0.421031765756461,13.372066
"Gene1384",0,0,0,0.99,13.372066
"Gene1385",0,0.147564371054546,0,0.586952502288458,13.372066
"Gene1386",0,0.00997868975333631,0,0.887656182616149,13.372066
"Gene1387",0,0,0,0.99,13.372066
"Gene1388",0,0,0,0.99,13.372066
"Gene1389",0,0,0,0.99,13.372066
"Gene1390",0.0780197297530061,0.502729259378992,0.04,0.315993301127526,13.372066
"Gene1391",0,0,0,0.99,13.372066
"Gene1392",0,0,0,0.99,13.372066
"Gene1393",0,0.558027253360558,0,0.290769609640248,13.372066
"Gene1394",0,0.0673072907932692,0,0.713694656894094,13.372066
"Gene1395",0,0.247708878026287,0,0.481520469784991,13.372066
"Gene1396",0,0,0,0.99,13.372066
"Gene1397",0,0,0,0.99,13.372066
"Gene1398",0,0,0,0.99,13.372066
"Gene1399",0,0,0,0.99,13.372066
"Gene1400",0,0.0503364251519258,0,0.751023676655146,13.372066
"Gene1401",0,0,0,0.99,13.372066
"Gene1402",0,0.219426308534997,0,0.507676768709615,13.372066
"Gene1403",0,0,0,0.99,13.372066
"Gene1404",0,0,0,0.99,13.372066
"Gene1405",0,0.115848715214327,0,0.630268055851838,13.372066
"Gene1406",0,0.126719453889802,0.22,0.614663978514012,13.372066
"Gene1407",0,0,0,0.99,13.372066
"Gene1408",0,0,0,0.99,13.372066
"Gene1409",0,0.0323272880608613,0,0.799284934409894,13.372066
"Gene1410",0,0,0,0.99,13.372066
"Gene1411",0,0.0771553878169925,0,0.69444940142971,13.372066
"Gene1412",0.057984475952835,0.772357433182202,0.08,0.213917368876988,13.372066
"Gene1413",0,0,0,0.99,13.372066
"Gene1414",0,0.397429468224698,0,0.372634921854819,13.372066
"Gene1415",0,0,0,0.99,13.372066
"Gene1416",0,0,0,0.99,13.372066
"Gene1417",0.0496855905313139,0.581256622297804,0.08,0.280944924815973,13.372066
"Gene1418",0,0.0885936859042829,0,0.673801594653306,13.372066
"Gene1419",0,0.280001822663053,0,0.454258773813434,13.372066
"Gene1420",0,0.0223535885829619,0,0.832543386629997,13.372066
"Gene1421",0,0,0,0.99,13.372066
"Gene1422",0,0,0,0.99,13.372066
"Gene1423",0,0.0115353337265276,0,0.879273448050042,13.372066
"Gene1424",0,0.663242839014794,0,0.249431382856546,13.372066
"Gene1425",0,0,0,0.99,13.372066
"Gene1426",0,0.114296988870223,0,0.632568338184854,13.372066
"Gene1427",0,0.387268368136245,0,0.378817225429422,13.372066
"Gene1428",0,0.0704161430651823,0,0.707455005248534,13.372066
"Gene1429",0.0632799251760235,0.250820866155868,0.26,0.478779646148603,13.372066
"Gene1430",0,0,0,0.99,13.372066
"Gene1431",0,0,0,0.99,13.372066
"Gene1432",0,0,0,0.99,13.372066
"Gene1433",0,0.3340020870763,0,0.413748309275154,13.372066
"Gene1434",0.0297022728746495,1.49882220067224,0.12,0.0833856741035082,13.372066
"Gene1435",0,0.00256914805987662,0,0.942855053415209,13.372066
"Gene1436",0,0,0,0.99,13.372066
"Gene1437",0,0.26302516760183,0,0.468272130342746,13.372066
"Gene1438",0,0.812942602676515,0,0.202273128415096,13.372066
"Gene1439",0,0,0,0.99,13.372066
"Gene1440",0,0,0,0.99,13.372066
"Gene1441",0,0,0,0.99,13.372066
"Gene1442",0,0,0,0.99,13.372066
