"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.571074140841216,0.744905557730202,0.647539968543149,0.881525121118637,0.835403860592134,0.640989612272265,0.0235177169065865,0.382622040314265,0.805079096090983,0.508715359706582,0.219310053450827,0.304823185808859
"Gene2",0.989978496962058,0.890357863924466,0.405505417177594,0.0590610336639743,0.246053727914721,0.895247654616842,0.794187975384372,0.383808455058564,0.753709645909396,0.073650107828186,0.449045656568364,0.77218154392706
"Gene3",0.0797455408156538,0.0358315291537094,0.613099441658374,0.574564254409229,0.0362451971446762,0.211463828128629,0.602292470342167,0.78994287167405,0.2200704095304,0.0988023928599459,0.88750523042276,0.793767516982169
"Gene4",0.0644785663939307,0.0382078123026734,0.0998285211074828,0.482113368654717,0.468933788722957,0.084203078201003,0.64891440224677,0.930861118230363,0.606642176288981,0.996171282246608,0.781257641433628,0.552768197301014
"Gene5",0.171158683519546,0.892798378191157,0.64618451503346,0.305506274684572,0.0243104024808203,0.870179444025319,0.731539788124662,0.0994371120648555,0.385272967046594,0.177970883802253,0.934333373630377,0.461573527452405
"Gene6",0.731554619102349,0.232755289843035,0.514450118792115,0.742296740675117,0.849041993144395,0.924887567092872,0.308149022425404,0.27712858717483,0.716625326853303,0.913379424356231,0.277583887631527,0.776849416590327
"Gene7",0.703000664297478,0.661428938109784,0.378375826355178,0.982285813552598,0.630065875547068,0.852599378808559,0.41527601089518,0.623797087787741,0.668906440694761,0.893985616002031,0.992102159887584,0.435212450981584
"Gene8",0.0524688906396765,0.563564641600947,0.785645489518165,0.859163482558995,0.672201925150919,0.204564823462693,0.640921860065201,0.804549344755877,0.473053282559214,0.0696559119581632,0.0481936731801779,0.811758771940991
"Gene9",0.00403303735106703,0.308309267127771,0.395836680354968,0.753446243466472,0.993326972586266,0.680010008294189,0.952328764813875,0.531790572500261,0.573624917112915,0.826056465761821,0.479448446828303,0.675118919138596
"Gene10",0.603446913487931,0.736652386043534,0.91191185870526,0.354035637649406,0.484886585278615,0.831037414759101,0.590285829133551,0.483219141355378,0.104862819717946,0.717178966560813,0.132195767850011,0.145818261826552
"Gene11",0.0544861446706157,0.444627177969661,0.392237135245175,0.089317175928644,0.289891446934089,0.0382658927204223,0.217195884211541,0.91243152072689,0.392267320778412,0.0451362010855117,0.859647376861655,0.0849501719477276
"Gene12",0.853272135512041,0.698252462337554,0.0895553262640111,0.426297436932297,0.0971721289880794,0.313735000261591,0.832032358307645,0.149037098378017,0.235267043114944,0.717015156910696,0.660764197904532,0.785706017883987
"Gene13",0.870879695433786,0.14327649615521,0.418607953788812,0.930823038411802,0.717289294661528,0.616677435488486,0.593362159511768,0.992415488384245,0.168715458045124,0.426874461304617,0.356894549221699,0.337873570156467
"Gene14",0.478440838558138,0.493965459895597,0.242831240737988,0.338039343962386,0.878288162520897,0.198047779302943,0.112596072416049,0.870340919149532,0.976954740036095,0.937252680249811,0.998685544524177,0.492180770866307
"Gene15",0.589669548855138,0.0614506152368871,0.0145269790662567,0.944470320637522,0.166764135965037,0.892448375787469,0.873673097065811,0.253505024804701,0.0457684818176382,0.699096704783444,0.763416446949013,0.0542116335996509
"Gene16",0.387400197812235,0.0490533215848226,0.0429829239977632,0.893097429697016,0.542659976698602,0.684871128184519,0.0877803232785068,0.521539810265675,0.502506793643375,0.891225636142277,0.0491785868556134,0.416451960855174
"Gene17",0.609975273206457,0.236973505858435,0.713612656441961,0.557888765180681,0.105184254462307,0.306419198556977,0.831215539714829,0.884755054633898,0.940178742986138,0.366214446965117,0.288261219236512,0.0281939921368888
"Gene18",0.669352308300198,0.639274532633823,0.616163620905182,0.0750329840478407,0.87712633075685,0.195736602290427,0.801102179067357,0.411250137106287,0.677512731419803,0.802790614151492,0.883219746552297,0.556285286140809
"Gene19",0.433595844860647,0.170087083818098,0.179720347221823,0.518418175814921,0.419535047732206,0.184898523843687,0.675825979534298,0.0890143574129532,0.802415224310107,0.805499136076,0.559358004223847,0.450317455165497
"Gene20",0.228221395437048,0.259971242375058,0.17765689654954,0.0588406642136177,0.53417495229518,0.915941335096126,0.490037770537518,0.175263689922219,0.112310591566287,0.587144472844721,0.280266919955657,0.4742140194405
"Gene21",0.752359712798809,0.946363807971084,0.942777673137629,0.686409666509482,0.28446080057326,0.876094665080781,0.331322428595895,0.389643127835163,0.775375400275693,0.636211368714311,0.290752854727478,0.487915729496891
"Gene22",0.429465796500775,0.215471622978697,0.180684028226642,0.63840627328184,0.244981482240902,0.409250922863162,0.932616620382497,0.34914785095187,0.44194859254627,0.50487029847754,0.296410493739007,0.228170956614784
"Gene23",0.261780440075653,0.178053727899845,0.367612836490247,0.298225608487262,0.780664289179116,0.779647429721763,0.337041112783781,0.840281777132828,0.263380188261146,0.707614284168453,0.356394316402211,0.250734780497485
"Gene24",0.199035235594217,0.00129195955359238,0.179662471567767,0.0542619882332656,0.17981705974094,0.30911606168322,0.325643376501786,0.0540635568195964,0.154325534322475,0.34510900053583,0.0776194269615444,0.228302866143976
"Gene25",0.161536070782762,0.181409867493633,0.779617508102066,0.893919284389087,0.496684218488774,0.884496868318504,0.246576996798954,0.64282957468588,0.805923173650509,0.208434282886016,0.634973514356665,0.31909816168045
"Gene26",0.208634799355603,0.79222497366102,0.191129942265824,0.322679714465298,0.689076029641599,0.0748760529784197,0.912668774636196,0.220453023353149,0.226097036968782,0.350057120591421,0.291936686207905,0.549976405832333
"Gene27",0.893965582871545,0.388268259716107,0.539851583481159,0.275211040005471,0.986858253530807,0.910215640179968,0.244109734269826,0.326456130975749,0.287658920078237,0.252121650006632,0.127277580993744,0.262007686475441
