"","pval","qval"
"Gene296",0.000870674733662424,0.919260472435522
"Gene4716",0.919260456186685,0.919260472435522
"Gene8729",0.919260456186685,0.919260472435522
"Gene8505",0.919260456187826,0.919260472435522
"Gene1130",0.919260456187826,0.919260472435522
"Gene9339",0.919260456187965,0.919260472435522
"Gene8995",0.919260456187993,0.919260472435522
"Gene6214",0.919260456188438,0.919260472435522
"Gene73",0.91926045618866,0.919260472435522
"Gene9154",0.919260456188855,0.919260472435522
"Gene5287",0.919260456189022,0.919260472435522
"Gene1370",0.919260456189467,0.919260472435522
"Gene4234",0.919260456191943,0.919260472435522
"Gene6298",0.919260456192472,0.919260472435522
"Gene5810",0.919260456192667,0.919260472435522
"Gene7952",0.91926045619378,0.919260472435522
"Gene8831",0.919260456183875,0.919260472435522
"Gene2146",0.919260456182846,0.919260472435522
"Gene4536",0.919260456181594,0.919260472435522
"Gene7380",0.919260456180843,0.919260472435522
"Gene2242",0.919260456152632,0.919260472435522
"Gene5173",0.919260456153411,0.919260472435522
"Gene5815",0.919260456153578,0.919260472435522
"Gene5306",0.919260456154857,0.919260472435522
"Gene3809",0.919260456158919,0.919260472435522
"Gene4601",0.91926045616312,0.919260472435522
"Gene2106",0.919260456163371,0.919260472435522
"Gene1474",0.919260456194781,0.919260472435522
"Gene6295",0.919260456164317,0.919260472435522
"Gene1768",0.91926045616938,0.919260472435522
"Gene9686",0.919260456176975,0.919260472435522
"Gene5012",0.919260456177309,0.919260472435522
"Gene590",0.919260456177462,0.919260472435522
"Gene803",0.91926045617756,0.919260472435522
"Gene9971",0.919260456179034,0.919260472435522
"Gene2891",0.919260456179646,0.919260472435522
"Gene4009",0.91926045616465,0.919260472435522
"Gene2482",0.919260456152159,0.919260472435522
"Gene6766",0.919260456199066,0.919260472435522
"Gene8315",0.919260456202961,0.919260472435522
"Gene8751",0.919260456238099,0.919260472435522
"Gene8435",0.919260456239045,0.919260472435522
"Gene4500",0.91926045624294,0.919260472435522
"Gene5497",0.919260456246557,0.919260472435522
"Gene3141",0.919260456246974,0.919260472435522
"Gene4145",0.919260456248616,0.919260472435522
"Gene1827",0.91926045624945,0.919260472435522
"Gene9110",0.919260456249701,0.919260472435522
"Gene9799",0.91926045625329,0.919260472435522
"Gene4046",0.91926045625329,0.919260472435522
"Gene7456",0.919260456253345,0.919260472435522
"Gene6892",0.91926045626108,0.919260472435522
"Gene8367",0.919260456263194,0.919260472435522
"Gene5082",0.919260456263973,0.919260472435522
"Gene4064",0.919260456264001,0.919260472435522
"Gene8258",0.919260456236764,0.919260472435522
"Gene5214",0.919260456234121,0.919260472435522
"Gene5051",0.919260456233898,0.919260472435522
"Gene7186",0.919260456232117,0.919260472435522
"Gene1678",0.919260456204157,0.919260472435522
"Gene7769",0.91926045620424,0.919260472435522
"Gene4090",0.919260456207551,0.919260472435522
"Gene1831",0.919260456208581,0.919260472435522
"Gene7389",0.919260456210194,0.919260472435522
"Gene9944",0.919260456213449,0.919260472435522
"Gene1029",0.919260456216927,0.919260472435522
"Gene9177",0.919260456199205,0.919260472435522
"Gene2395",0.919260456218708,0.919260472435522
"Gene3432",0.91926045622021,0.919260472435522
"Gene2418",0.91926045622277,0.919260472435522
"Gene4277",0.919260456223521,0.919260472435522
"Gene2903",0.919260456225023,0.919260472435522
"Gene595",0.919260456225802,0.919260472435522
"Gene2297",0.919260456228,0.919260472435522
"Gene5480",0.919260456229586,0.919260472435522
"Gene1242",0.919260456219598,0.919260472435522
"Gene7706",0.919260456268647,0.919260472435522
"Gene4641",0.919260456150935,0.919260472435522
"Gene9603",0.919260456149404,0.919260472435522
"Gene7280",0.919260456060348,0.919260472435522
"Gene7532",0.919260456062407,0.919260472435522
"Gene4070",0.919260456065523,0.919260472435522
"Gene7853",0.91926045606786,0.919260472435522
"Gene7568",0.919260456069863,0.919260472435522
"Gene5351",0.919260456070364,0.919260472435522
"Gene4184",0.919260456070725,0.919260472435522
"Gene8021",0.919260456073174,0.919260472435522
"Gene3314",0.919260456073925,0.919260472435522
"Gene2638",0.919260456076095,0.919260472435522
"Gene6106",0.919260456078571,0.919260472435522
"Gene8718",0.919260456078849,0.919260472435522
"Gene5328",0.919260456080101,0.919260472435522
"Gene834",0.919260456082243,0.919260472435522
"Gene964",0.919260456083829,0.919260472435522
"Gene9996",0.919260456059179,0.919260472435522
"Gene9421",0.919260456058317,0.919260472435522
"Gene8589",0.919260456055952,0.919260472435522
"Gene4273",0.919260456053615,0.919260472435522
"Gene6878",0.919260456030941,0.919260472435522
"Gene6582",0.919260456031358,0.919260472435522
"Gene3403",0.919260456031803,0.919260472435522
"Gene4478",0.919260456031914,0.919260472435522
"Gene4072",0.919260456032109,0.919260472435522
"Gene6653",0.919260456032276,0.919260472435522
"Gene7107",0.919260456032777,0.919260472435522
"Gene6977",0.919260456084052,0.919260472435522
"Gene9853",0.919260456034168,0.919260472435522
"Gene4587",0.919260456039426,0.919260472435522
"Gene6746",0.919260456041012,0.919260472435522
"Gene51",0.919260456042848,0.919260472435522
"Gene3716",0.919260456043015,0.919260472435522
"Gene1057",0.919260456049692,0.919260472435522
"Gene9685",0.919260456053059,0.919260472435522
"Gene4167",0.919260456053559,0.919260472435522
"Gene717",0.919260456037625,0.919260472435522
"Gene4978",0.919260456150795,0.919260472435522
"Gene4225",0.91926045608472,0.919260472435522
"Gene1710",0.919260456087029,0.919260472435522
"Gene5116",0.919260456126396,0.919260472435522
"Gene5274",0.919260456126591,0.919260472435522
"Gene9741",0.919260456130875,0.919260472435522
"Gene9749",0.919260456130959,0.919260472435522
"Gene5814",0.919260456136885,0.919260472435522
"Gene2882",0.919260456138109,0.919260472435522
"Gene9046",0.919260456138526,0.919260472435522
"Gene4377",0.91926045613861,0.919260472435522
"Gene6526",0.919260456138971,0.919260472435522
"Gene833",0.919260456139333,0.919260472435522
"Gene1388",0.919260456139416,0.919260472435522
"Gene3851",0.919260456139889,0.919260472435522
"Gene2436",0.919260456146706,0.919260472435522
"Gene9043",0.9192604561469,0.919260472435522
"Gene1082",0.919260456149126,0.919260472435522
"Gene4683",0.919260456125534,0.919260472435522
"Gene6105",0.919260456124727,0.919260472435522
"Gene6545",0.919260456124504,0.919260472435522
"Gene5740",0.919260456121833,0.919260472435522
"Gene7957",0.919260456088225,0.919260472435522
"Gene6613",0.91926045608931,0.919260472435522
"Gene8479",0.919260456089727,0.919260472435522
"Gene3461",0.919260456090479,0.919260472435522
"Gene1854",0.919260456090896,0.919260472435522
"Gene8574",0.91926045609429,0.919260472435522
"Gene5363",0.919260456095598,0.919260472435522
"Gene8848",0.919260456086556,0.919260472435522
"Gene9631",0.919260456096238,0.919260472435522
"Gene8656",0.919260456105001,0.919260472435522
"Gene2286",0.919260456110009,0.919260472435522
"Gene1291",0.919260456110566,0.919260472435522
"Gene2514",0.919260456113097,0.919260472435522
"Gene1845",0.919260456113682,0.919260472435522
"Gene1327",0.919260456117688,0.919260472435522
"Gene1400",0.919260456119107,0.919260472435522
"Gene2295",0.919260456101079,0.919260472435522
"Gene3918",0.919260456030468,0.919260472435522
"Gene1346",0.919260456270316,0.919260472435522
"Gene8629",0.919260456272292,0.919260472435522
"Gene6995",0.919260456413819,0.919260472435522
"Gene7321",0.919260456413847,0.919260472435522
"Gene5406",0.919260456417102,0.919260472435522
"Gene1797",0.919260456419801,0.919260472435522
"Gene6641",0.919260456421804,0.919260472435522
"Gene2946",0.919260456422555,0.919260472435522
"Gene3216",0.919260456423974,0.919260472435522
"Gene7039",0.919260456424475,0.919260472435522
"Gene9280",0.919260456425476,0.919260472435522
"Gene1215",0.919260456427535,0.919260472435522
