"","Emark","markcorr","markvario","Vmark"
"Gene1",0.523067266450466,0.45110577302613,0.425604358188628,0.475963826749167
"Gene2",0.523067266450466,0.49715132291967,0.498459759343628,0.475714761429047
"Gene3",0.523067266450466,0.42983021706426,0.45010071003387,0.487361102085905
"Gene4",0.523067266450466,0.42983021706426,0.425604358188628,0.487361102085905
"Gene5",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene6",0.523067266450466,0.42983021706426,0.425604358188628,0.600720865038046
"Gene7",0.523067266450466,0.42983021706426,0.425604358188628,0.475714761429047
"Gene8",0.523067266450466,0.45110577302613,0.425604358188628,0.475963826749167
"Gene9",0.523067266450466,0.42983021706426,0.425604358188628,0.552638850511191
"Gene10",0.561028702228406,0.42983021706426,0.425604358188628,0.487361102085905
"Gene11",0.523067266450466,0.45110577302613,0.425604358188628,0.475963826749167
"Gene12",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene13",0.561028702228406,0.45110577302613,0.425604358188628,0.600720865038046
"Gene14",0.608019780910206,0.45110577302613,0.425604358188628,0.910092010302242
"Gene15",0.561028702228406,0.565179303133919,0.642531943016596,0.516089076974686
"Gene16",0.533034833826391,0.42983021706426,0.425604358188628,0.475963826749167
"Gene17",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene18",0.533034833826391,0.42983021706426,0.425604358188628,0.475963826749167
"Gene19",0.608019780910206,0.42983021706426,0.425604358188628,0.552638850511191
"Gene20",0.533034833826391,0.42983021706426,0.45010071003387,0.600720865038046
"Gene21",0.561028702228406,0.42983021706426,0.45010071003387,0.487361102085905
"Gene22",0.533034833826391,0.42983021706426,0.425604358188628,0.475963826749167
"Gene23",0.608019780910206,0.45110577302613,0.45010071003387,0.516089076974686
"Gene24",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene25",0.523067266450466,0.45110577302613,0.425604358188628,0.475963826749167
"Gene26",0.523067266450466,0.49715132291967,0.45010071003387,0.475714761429047
"Gene27",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene28",0.523067266450466,0.42983021706426,0.425604358188628,0.475714761429047
"Gene29",0.523067266450466,0.42983021706426,0.425604358188628,0.475714761429047
"Gene30",0.821385220541932,0.42983021706426,0.425604358188628,0.600720865038046
"Gene31",0.523067266450466,0.42983021706426,0.425604358188628,0.475714761429047
"Gene32",0.523067266450466,0.42983021706426,0.425604358188628,0.552638850511191
"Gene33",0.666349357448834,0.45110577302613,0.425604358188628,0.821880279439295
"Gene34",0.561028702228406,0.42983021706426,0.425604358188628,0.552638850511191
"Gene35",0.523067266450466,0.42983021706426,0.642531943016596,0.600720865038046
"Gene36",0.523067266450466,0.49715132291967,0.425604358188628,0.552638850511191
"Gene37",0.523067266450466,0.42983021706426,0.45010071003387,0.600720865038046
"Gene38",0.523067266450466,0.42983021706426,0.425604358188628,0.487361102085905
"Gene39",0.523067266450466,0.42983021706426,0.425604358188628,0.516089076974686
"Gene40",0.608019780910206,0.42983021706426,0.425604358188628,0.738647905009879
"Gene41",0.523067266450466,0.45110577302613,0.498459759343628,0.475963826749167
"Gene42",0.523067266450466,0.42983021706426,0.45010071003387,0.487361102085905
"Gene43",0.523067266450466,0.49715132291967,0.642531943016596,0.475714761429047
"Gene44",0.666349357448834,0.42983021706426,0.425604358188628,0.600720865038046
"Gene45",0.523067266450466,0.64357163871727,0.498459759343628,0.487361102085905
"Gene46",0.523067266450466,0.42983021706426,0.425604358188628,0.516089076974686
"Gene47",0.666349357448834,0.42983021706426,0.425604358188628,0.516089076974686
"Gene48",0.666349357448834,0.42983021706426,0.425604358188628,0.66336248969419
"Gene49",0.523067266450466,0.42983021706426,0.425604358188628,0.475963826749167
"Gene50",0.561028702228406,0.49715132291967,0.425604358188628,0.552638850511191
"Gene51",0.523067266450466,0.42983021706426,0.425604358188628,0.516089076974686
