"","combinedPval","adjustedPval"
"Gene248",6.85229650798647e-13,2.16347027943013e-10
"Gene249",4.10782519111308e-15,2.43671361427597e-12
"Gene250",1.05448982878897e-12,3.25581419974838e-10
"Gene251",2.84261503225025e-12,7.90408978630768e-10
"Gene252",1.83806864296511e-16,2.22307313488718e-13
"Gene253",9.30033827728494e-12,2.30450752050655e-09
"Gene254",5.45341549695877e-11,1.20487319266573e-08
"Gene255",1.0325074129014e-14,5.20916277668777e-12
"Gene256",1.77635683940025e-15,1.25081157722896e-12
"Gene257",2.58681964737661e-14,1.14564577352134e-11
"Gene258",4.37427871702312e-14,1.8141405412744e-11
"Gene259",1.19992904501487e-12,3.64733936764364e-10
"Gene260",4.10782519111308e-15,2.43671361427597e-12
"Gene261",1.78967951569575e-13,6.46371883040913e-11
"Gene262",7.65313046065959e-19,4.78553449656335e-15
"Gene263",1.57215662710541e-09,3.14675862843847e-07
"Gene264",6.43929354282591e-15,3.60144390557854e-12
"Gene265",1.80966353013901e-14,8.4344160432371e-12
"Gene266",8.04002573415993e-17,1.22640617799981e-13
"Gene267",2.55351295663786e-15,1.6887012721288e-12
"Gene268",2.28983498828939e-12,6.49487505762282e-10
"Gene269",3.22741549512216e-18,1.26354685523523e-14
"Gene270",2.55351295663786e-15,1.6887012721288e-12
"Gene271",6.66133814775094e-16,5.87374355523061e-13
"Gene272",7.21644966006352e-15,3.88086627756308e-12
"Gene273",4.91229279475647e-12,1.30651050567325e-09
"Gene274",1.84961316262999e-08,3.50838855715203e-06
"Gene275",2.97539770599542e-14,1.29431202430371e-11
"Gene276",1.03024255793116e-11,2.53995170745512e-09
"Gene277",1.47593048893668e-12,4.35115245852368e-10
"Gene278",8.1574746957358e-12,2.05191550052717e-09
"Gene279",3.08181635766402e-09,5.98484213973268e-07
"Gene280",8.91931809252589e-17,1.30296674029562e-13
"Gene281",1.35447209004269e-13,5.07932536557682e-11
"Gene282",2.04104111389825e-09,4.02760208189621e-07
"Gene283",2.06641735613707e-16,2.40777130808501e-13
"Gene284",3.13082892944294e-14,1.34992599681225e-11
"Gene285",4.89830398464619e-12,1.30633977238429e-09
"Gene286",8.14462712091389e-17,1.22640617799981e-13
"Gene287",3.98703292603386e-12,1.07502775572333e-09
"Gene288",2.44441372856591e-17,5.20107794876118e-14
"Gene289",1.34781075189494e-13,5.07378486565094e-11
"Gene290",4.88498130835069e-15,2.8291285526377e-12
"Gene291",6.70574706873595e-14,2.67890655045497e-11
"Gene292",1.77635683940025e-15,1.25081157722896e-12
"Gene293",1.77635683940025e-15,1.25081157722896e-12
"Gene294",1.90492037004338e-21,6.21487003734015e-17
"Gene295",4.34097202628436e-13,1.45009296951401e-10
"Gene296",4.5807801996034e-13,1.51469161930509e-10
"Gene297",5.30686605770825e-14,2.15524955431138e-11
"Gene298",1.25455201782643e-13,4.77784470903097e-11
"Gene299",6.7670291592492e-10,1.39732100095266e-07
"Gene300",7.99360577730113e-15,4.20635828793934e-12
"Gene301",3.90042416463918e-17,7.48545394057957e-14
"Gene302",1.68265401612189e-12,4.88698949696407e-10
"Gene303",1.77635683940025e-15,1.25081157722896e-12
"Gene304",6.02308389435148e-17,1.01640641861994e-13
"Gene305",6.00408611717285e-13,1.93945972017727e-10
"Gene306",1.07160946782869e-11,2.62869456030136e-09
"Gene307",2.93707970666609e-18,1.19779079438785e-14
"Gene308",1.77635683940025e-15,1.25081157722896e-12
"Gene309",3.59712259978551e-14,1.51755253750225e-11
"Gene310",4.44089209850063e-16,4.26134336359868e-13
"Gene311",5.93702864648549e-12,1.54136067417798e-09
"Gene312",2.58348897830274e-13,9.12858206429243e-11
"Gene313",3.89022147828655e-13,1.31296397318714e-10
"Gene314",1.12132525487141e-13,4.3209015090348e-11
"Gene315",1.77635683940025e-15,1.25081157722896e-12
"Gene316",4.10782519111308e-15,2.43671361427597e-12
"Gene317",1.29749491381876e-16,1.65893286518476e-13
"Gene318",1.90475405670298e-07,3.3291039826011e-05
"Gene319",2.4571759475562e-16,2.76435288918668e-13
"Gene320",3.15778514448084e-11,7.13791153363786e-09
