"","l","BF","PPI","pval","time"
"Gene6095",0,0.139098611147182,0,0.597885262796846,13.3916091
"Gene6096",0,0.241167092951974,0,0.487366924402174,13.3916091
"Gene6097",0,0,0,0.99,13.3916091
"Gene6098",0,0,0,0.99,13.3916091
"Gene6099",0,0.0425124051235002,0,0.770600014464454,13.3916091
"Gene6100",0,0,0,0.99,13.3916091
"Gene6101",0,0.0850711069418764,0,0.679985448635002,13.3916091
"Gene6102",0,0.0149606162673024,0,0.862669074721262,13.3916091
"Gene6103",0,0.241290312609067,0,0.487255718899058,13.3916091
"Gene6104",0,0,0,0.99,13.3916091
"Gene6105",0,0,0,0.99,13.3916091
"Gene6106",0,0.131654943969903,0,0.607855281900792,13.3916091
"Gene6107",0,0.216082742537935,0,0.510928286324674,13.3916091
"Gene6108",0,0,0,0.99,13.3916091
"Gene6109",0.0546124365587413,0.1084748891912,0.08,0.64137392749903,13.3916091
"Gene6110",0,0,0,0.99,13.3916091
"Gene6111",0,0.179342439193425,0,0.549237529043788,13.3916091
"Gene6112",0,0,0,0.99,13.3916091
"Gene6113",0,0.111822449385096,0,0.636276612738835,13.3916091
"Gene6114",0,0,0,0.99,13.3916091
"Gene6115",0,0,0,0.99,13.3916091
"Gene6116",0,0.0836545465601489,0,0.682514458809416,13.3916091
"Gene6117",0,0,0,0.99,13.3916091
"Gene6118",0,0,0,0.99,13.3916091
"Gene6119",0,0,0,0.99,13.3916091
"Gene6120",0,0.0172291072505345,0,0.852735522384361,13.3916091
"Gene6121",0,0,0,0.99,13.3916091
"Gene6122",0,0,0,0.99,13.3916091
"Gene6123",0,0,0,0.99,13.3916091
"Gene6124",0,0.0359198881658131,0,0.788676663979132,13.3916091
"Gene6125",0,0,0,0.99,13.3916091
"Gene6126",0,0,0,0.99,13.3916091
"Gene6127",0,0.0644330556812065,0,0.71961060237371,13.3916091
"Gene6128",0,0,0,0.99,13.3916091
"Gene6129",0,0,0,0.99,13.3916091
"Gene6130",0,0.451170070105189,0,0.342155007616151,13.3916091
"Gene6131",0,0,0,0.99,13.3916091
"Gene6132",0,0,0,0.99,13.3916091
"Gene6133",0,0,0,0.99,13.3916091
"Gene6134",0,0,0,0.99,13.3916091
"Gene6135",0,0,0,0.99,13.3916091
"Gene6136",0,0,0,0.99,13.3916091
"Gene6137",0,0,0,0.99,13.3916091
"Gene6138",0,0,0,0.99,13.3916091
"Gene6139",0,0,0,0.99,13.3916091
"Gene6140",0,0.342991581576842,0,0.407534025566912,13.3916091
"Gene6141",0,0.103606168930628,0,0.64896117439681,13.3916091
"Gene6142",0,0,0,0.99,13.3916091
"Gene6143",0,0,0,0.99,13.3916091
"Gene6144",0,0,0,0.99,13.3916091
"Gene6145",0,0,0,0.99,13.3916091
"Gene6146",0,0,0,0.99,13.3916091
"Gene6147",0,0,0,0.99,13.3916091
"Gene6148",0,0,0,0.99,13.3916091
"Gene6149",0,0,0,0.99,13.3916091
"Gene6150",0,0.22764322117946,0,0.499835139379978,13.3916091
"Gene6151",0,0,0,0.99,13.3916091
"Gene6152",0,0,0,0.99,13.3916091
"Gene6153",0,0.022037248432224,0,0.833715072531581,13.3916091
"Gene6154",0,0,0,0.99,13.3916091
"Gene6155",0,0,0,0.99,13.3916091
"Gene6156",0.0430320611659877,0.849254199065234,0.02,0.192483161680654,13.3916091
"Gene6157",0,0,0,0.99,13.3916091
"Gene6158",0,0.00722402461365164,0,0.904324687371484,13.3916091
"Gene6159",0,0,0,0.99,13.3916091
"Gene6160",0,0.33815929112526,0,0.410857296858777,13.3916091
"Gene6161",0,0.406040738000632,0,0.367505576417979,13.3916091
"Gene6162",0,0,0,0.99,13.3916091
"Gene6163",0.0166441738354104,1.40035870584554,0.02,0.0942221389850927,13.3916091
"Gene6164",0,0.439194918120739,0,0.348643069791309,13.3916091
"Gene6165",0,0.116785941749623,0,0.628887886147791,13.3916091
"Gene6166",0,0.125623538083556,0,0.616198338491015,13.3916091
"Gene6167",0,0.0803984255488103,0,0.688423932679182,13.3916091
"Gene6168",0,0,0,0.99,13.3916091
"Gene6169",0,0.226324574471556,0,0.501079593149539,13.3916091
"Gene6170",0,0,0,0.99,13.3916091
"Gene6171",0,0,0,0.99,13.3916091
"Gene6172",0,0.0195180716994685,0,0.843377075982491,13.3916091
"Gene6173",0,0,0,0.99,13.3916091
"Gene6174",0,0,0,0.99,13.3916091
"Gene6175",0,0.000553499358528597,0,0.973458008916642,13.3916091
"Gene6176",0,0,0,0.99,13.3916091
"Gene6177",0,0,0,0.99,13.3916091
"Gene6178",0,0.693833730146758,0,0.238799404978204,13.3916091
"Gene6179",0,0,0,0.99,13.3916091
"Gene6180",0,0,0,0.99,13.3916091
"Gene6181",0,0,0,0.99,13.3916091
"Gene6182",0,0,0,0.99,13.3916091
"Gene6183",0,0,0,0.99,13.3916091
"Gene6184",0,0,0,0.99,13.3916091
"Gene6185",0,0.0201565956797424,0,0.840869466960117,13.3916091
"Gene6186",0,0,0,0.99,13.3916091
"Gene6187",0,0,0,0.99,13.3916091
"Gene6188",0,0.165066494553224,0,0.565580789764169,13.3916091
"Gene6189",0,0,0,0.99,13.3916091
"Gene6190",0,0.354297731364841,0,0.399910478894333,13.3916091
"Gene6191",0,0.244385763311192,0,0.484475810596309,13.3916091
"Gene6192",0,0.0780499683120581,0,0.692772893068389,13.3916091
"Gene6193",0,0,0,0.99,13.3916091
"Gene6194",0,0,0,0.99,13.3916091
"Gene6195",0.0797963884039094,0.64215369847638,0.16,0.257099681301583,13.3916091
"Gene6196",0,0.394583501744552,0,0.374352124234794,13.3916091
"Gene6197",0,0.211716431769469,0,0.515229063442115,13.3916091
"Gene6198",0,0.103733861688016,0,0.648759457882141,13.3916091
"Gene6199",0,0,0,0.99,13.3916091
"Gene6200",0,0,0,0.99,13.3916091
"Gene6201",0,0,0,0.99,13.3916091
"Gene6202",0,0,0,0.99,13.3916091
"Gene6203",0,0,0,0.99,13.3916091
"Gene6204",0,0.295378011264427,0,0.442126918326108,13.3916091
"Gene6205",0.0334700098129332,1.10564605163173,0.04,0.137003878937303,13.3916091
"Gene6206",0,0.191824454411068,0,0.535656842623999,13.3916091
"Gene6207",0,0,0,0.99,13.3916091
"Gene6208",0,0,0,0.99,13.3916091
"Gene6209",0,0.0462885443776941,0,0.760926134806883,13.3916091
"Gene6210",0,0.114053568250301,0,0.632930923963802,13.3916091
"Gene6211",0,0.181412351539882,0,0.546941637597397,13.3916091
"Gene6212",0,0,0,0.99,13.3916091
"Gene6213",0,0,0,0.99,13.3916091
"Gene6214",0,0,0,0.99,13.3916091
"Gene6215",0,0,0,0.99,13.3916091
"Gene6216",0,0.27691388768103,0,0.456757871460234,13.3916091
"Gene6217",0,0,0,0.99,13.3916091
"Gene6218",0,0.146694890045205,0,0.588056423520286,13.3916091
"Gene6219",0,0.130272725989903,0,0.609745669454206,13.3916091
"Gene6220",0,0.135362028433661,0,0.602846481955298,13.3916091
"Gene6221",0,0,0,0.99,13.3916091
"Gene6222",0,0.129853067174565,0,0.610322116308791,13.3916091
"Gene6223",0,0.624287606604878,0,0.263824778394781,13.3916091
"Gene6224",0,0.0831765295961532,0,0.683373508897304,13.3916091
"Gene6225",0,0,0,0.99,13.3916091
"Gene6226",0,0.080134560577369,0,0.688908864327537,13.3916091
"Gene6227",0,0.184539751522158,0,0.543506445825976,13.3916091
"Gene6228",0,0,0,0.99,13.3916091
"Gene6229",0,0,0,0.99,13.3916091
"Gene6230",0,0,0,0.99,13.3916091
"Gene6231",0,0.0094285551991959,0,0.890776918516866,13.3916091
"Gene6232",0,0,0,0.99,13.3916091
"Gene6233",0,0,0,0.99,13.3916091
"Gene6234",0,0,0,0.99,13.3916091
