"","combinedPval","adjustedPval"
"Gene1",0.656455550548523,1
"Gene2",0.0848636230581691,1
"Gene3",0.328424732556404,1
"Gene4",0.682147711181291,1
"Gene5",0.188105113508745,1
"Gene6",0.735623272293243,1
"Gene7",0.206812833248408,1
"Gene8",0.70085380008627,1
"Gene9",0.155478526966069,1
"Gene10",0.654974137765511,1
"Gene11",0.0205957420194829,1
"Gene12",0.674254113994733,1
"Gene13",0.0504432321393444,1
"Gene14",0.733081439794269,1
"Gene15",0.974831892595369,1
"Gene16",0.626655326457862,1
"Gene17",0.889147572735249,1
"Gene18",0.867320852904511,1
"Gene19",0.781290773963553,1
"Gene20",0.946362289115269,1
"Gene21",0.902979226899473,1
"Gene22",0.216458053785419,1
"Gene23",0.679159052706824,1
"Gene24",0.87590345571997,1
"Gene25",0.198772769178571,1
"Gene26",0.843384658745105,1
"Gene27",0.36179155686403,1
"Gene28",0.776922932172431,1
"Gene29",0.535290258131504,1
"Gene30",0.63327641397713,1
"Gene31",0.676695955036398,1
"Gene32",0.855418937455843,1
"Gene33",0.53704925518213,1
"Gene34",0.502448482909052,1
"Gene35",0.64059594337697,1
"Gene36",0.196374266050482,1
"Gene37",0.492712314065729,1
"Gene38",0.789517138592569,1
"Gene39",0.455084492928309,1
"Gene40",0.970521845610462,1
"Gene41",0.446798024506162,1
"Gene42",0.290123208494822,1
"Gene43",0.618938819394459,1
"Gene44",0.27178388472094,1
"Gene45",0.951359204515362,1
"Gene46",0.521693929768849,1
"Gene47",0.23091938452257,1
"Gene48",0.77314820022778,1
"Gene49",0.80735360361774,1
"Gene50",0.794375203948833,1
"Gene51",0.0490013921552022,1
"Gene52",0.585475645417194,1
"Gene53",0.130121283459495,1
"Gene54",0.655742211466999,1
"Gene55",0.0652934174652138,1
"Gene56",0.590462427506298,1
"Gene57",0.642136164256441,1
"Gene58",0.137175533186513,1
"Gene59",0.400284794176596,1
"Gene60",0.295182637329105,1
"Gene61",0.432597802297157,1
"Gene62",0.870263265144754,1
"Gene63",0.788505005069408,1
"Gene64",0.537624563097454,1
"Gene65",0.857468039809253,1
"Gene66",0.708780218441455,1
"Gene67",0.663532263419715,1
"Gene68",0.43721498210512,1
"Gene69",0.157479546595442,1
"Gene70",0.109541090086722,1
"Gene71",0.448664316435692,1
"Gene72",0.0087696407978195,1
"Gene73",0.553205972037501,1
"Gene74",0.656351102187626,1
"Gene75",0.606020235867318,1
"Gene76",0.385012207683803,1
"Gene77",0.588224427605003,1
"Gene78",0.397104963010327,1
"Gene79",0.337096670791237,1
"Gene80",0.957808162314505,1
"Gene81",0.815489944995475,1
"Gene82",0.527460987864988,1
"Gene83",0.533481265593138,1
"Gene84",0.431028125331104,1
"Gene85",0.190772688447338,1
"Gene86",0.853605670172815,1
"Gene87",0.175079784746074,1
"Gene88",0.551523820823205,1
"Gene89",0.952156841958498,1
"Gene90",0.731846566026019,1
"Gene91",0.492085958007927,1
"Gene92",0.106726372036878,1
"Gene93",0.610086320377393,1
"Gene94",0.308065811151777,1
"Gene95",0.337146259560955,1
"Gene96",0.037818336325667,1
"Gene97",0.53134899155686,1
"Gene98",0.217110217946414,1
"Gene99",0.488165072566794,1
"Gene100",0.809157654976377,1
"Gene101",0.878231386610436,1
"Gene102",0.8700090504455,1
"Gene103",0.0283208606108827,1
"Gene104",0.702328584477912,1
"Gene105",0.493939340198477,1
"Gene106",0.358153726511813,1
"Gene107",0.0593050284017296,1
"Gene108",0.819076678035869,1
"Gene109",0.916653551168997,1
"Gene110",0.300955540013269,1
"Gene111",0.430183726346932,1
"Gene112",0.725773438527873,1
"Gene113",0.937766569184862,1
"Gene114",0.870352611967803,1
"Gene115",0.049345056611156,1
"Gene116",0.407937744219398,1
"Gene117",0.614048514369456,1
"Gene118",0.0717914675934865,1
"Gene119",0.574194063412239,1
"Gene120",0.604837990441272,1
"Gene121",0.0417330549280462,1
"Gene122",0.593789172023753,1
"Gene123",0.629906201783275,1
"Gene124",0.564973710103172,1
"Gene125",0.974880314843179,1
"Gene126",0.262798541452702,1
"Gene127",0.913535528063034,1
"Gene128",0.714294657431271,1
"Gene129",0.312603899850602,1
"Gene130",0.970197725289874,1
"Gene131",0.0899045660377439,1
"Gene132",0.227343712990732,1
"Gene133",0.756231250744766,1
"Gene134",0.841657856392856,1
"Gene135",0.904727092732467,1
"Gene136",0.673352408726367,1
"Gene137",0.696986733685938,1
"Gene138",0.191523287184287,1
"Gene139",0.427003964378114,1
"Gene140",0.00964599840271352,1
"Gene141",0.999105040231057,1
