"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Gene1",0.927034621036249,0.73957756922021,0.877078327351184,0.999484795139725,0.73172642344678,0.933219942165334,0.89951770773386,0.995998034835221,0.982450442340472,0.999243499977119,0.990255600025183,0.787288634153932
"Gene2",0.729987930503964,0.914490730924579,0.999243499977119,0.919837366876541,0.920500891811869,0.999243499977119,0.999243499977119,0.999243499977119,0.859775305737311,0.996022633448334,0.920986900039005,0.787026142948374
"Gene3",0.792624200242283,0.990255600025183,0.959652803094358,0.999243499977119,0.90970650781566,0.999736179603222,0.905403411874215,0.999243499977119,0.840732281602037,0.919201338325595,0.978653502488363,0.999243499977119
"Gene4",0.757658067627488,0.995724154625729,0.679239182661352,0.982256796023805,0.991225478484714,0.961434074242115,0.964714389465846,0.883484019601728,0.928688065829576,0.999243499977119,0.99796928942047,0.90970650781566
"Gene5",0.92378932786564,0.915053691354012,0.999243499977119,0.926128904027491,0.999243499977119,0.999243499977119,0.75343903140972,0.756786269128088,0.875508874456048,0.990218138684278,0.926044786275615,0.777319720885518
"Gene6",0.954285074559828,0.999243499977119,0.999243499977119,0.999243499977119,0.999243499977119,0.910901746635577,0.999243499977119,0.929815948237219,0.999243499977119,0.999243499977119,0.91621285702968,0.933849339669623
"Gene7",0.967607584586594,0.999243499977119,0.999243499977119,0.997361981991653,0.719259155789438,0.524716257599573,0.895289951449551,0.999243499977119,0.999243499977119,0.932131925183395,0.901216906995566,0.934576915098593
"Gene8",0.676900080637345,0.714542016687886,0.999243499977119,0.891982958022983,0.903096221483786,0.643003447870398,0.947141984485572,0.717561720437851,0.982740652448378,0.859101904247369,0.997244730409117,0.985463523462026
"Gene9",0.931844794560323,0.999243499977119,0.977008325448804,0.999243499977119,0.999243499977119,0.983662537467594,0.999243499977119,0.978224829622435,0.963093849482076,0.836599316913798,0.807997525047812,0.89042982002962
"Gene10",0.972677250395503,0.970784642566464,0.99559386662193,0.999243499977119,0.995998034835221,0.935766966898903,0.999243499977119,0.997244730409117,0.999243499977119,0.999243499977119,0.999243499977119,0.999243499977119
"Gene11",0.999243499977119,0.93710949705647,0.978653502488363,0.981704516320266,0.966140499189315,0.999243499977119,0.681866025506215,0.922795486340682,0.999243499977119,0.98480665937947,0.999243499977119,0.982340200263942
"Gene12",0.999243499977119,0.969635067834591,0.613968925266251,0.978462206910588,0.912530416902268,0.976580429774571,0.999243499977119,0.999243499977119,0.999243499977119,0.849941314682385,0.754507963436656,0.999243499977119
"Gene13",0.995998034835221,0.994788197412286,0.994603631863265,0.910061611729851,0.911071914263295,0.888816594314288,0.999243499977119,0.986248686893676,0.999243499977119,0.999243499977119,0.919201338325595,0.866581528943857
"Gene14",0.954193145990926,0.999243499977119,0.875615306848298,0.608542583645842,0.999243499977119,0.96847431849311,0.999243499977119,0.945818419861961,0.884863946975512,0.999243499977119,0.99764275679146,0.90559661249738
"Gene15",0.999243499977119,0.591081308828612,0.903957313994536,0.999243499977119,0.804283291525797,0.939160142334214,0.901216906995566,0.899158198550591,0.864230817314038,0.999243499977119,0.858342097647835,0.971859391421957
"Gene16",0.569806095022132,0.999243499977119,0.999243499977119,0.999243499977119,0.789563729330591,0.818424406998912,0.999243499977119,0.935006451146513,0.999243499977119,0.610592485995858,0.368294718304391,0.7886942308071
"Gene17",0.786264353962028,0.999243499977119,0.999243499977119,0.997244730409117,0.999243499977119,0.995252524823258,0.833350749390494,0.942204370445398,0.901729326362372,0.979309526696332,0.999243499977119,0.999243499977119
"Gene18",0.999243499977119,0.841272563676964,0.999243499977119,0.976273236641638,0.820124729235567,0.90278616829018,0.931844794560323,0.779056243549009,0.999243499977119,0.999243499977119,0.85016965538325,0.999627512975902
"Gene19",0.999243499977119,0.934774806295768,0.999243499977119,0.999243499977119,0.487133613385106,0.932798797594156,0.616037268654985,0.999243499977119,0.97926358385955,0.973340338163563,0.999484795139725,0.987433163173936
