"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.173459457716838,0.660019754296836,0.299214410806355,0.935590281996453,0.0593033760277973,0.0760098330005349,0.0118239190083739,0.545175931017628,0.748855561919126,0.485343909227768,0.114551072895871,0.16743890531935
"Gene2",0.14722458823629,0.512912670824481,0.335098485997227,0.035521647840167,0.918427685716401,0.476482996833268,0.529512593762628,0.863759568208922,0.295276251141456,0.252185488090026,0.354322796020714,0.0522826219216542
"Gene3",0.016201577345742,0.807317832723831,0.159807858939669,0.828042628595643,0.283867101507682,0.313456631657119,0.00748987667138257,0.00859678933093673,0.752407594051732,0.760236968166334,0.315448369851779,0.0642626192562244
"Gene4",0.71310900126383,0.681471234478372,0.0021904305428934,0.865038524059084,0.585043408713594,0.02567959400937,0.130615214922488,0.113658506841161,0.4591527554547,0.387199502641872,0.513805897829132,0.908650304879035
"Gene5",0.735396224800761,0.448197591020635,0.0391923232522954,0.257150976339414,0.724255455299628,0.95613963503245,0.776979941145949,0.0390786669002319,0.890832176521001,0.245025203907407,0.609442557529916,0.239941767975851
"Gene6",0.50231199790964,0.0896610906944911,0.70987240775755,0.479864914681091,0.773116980231258,0.286238563791729,0.409279516944189,0.485930750639139,0.639926332714258,0.703455005240495,0.402042617105487,0.987336255463505
"Gene7",0.126360664792967,0.597065493391823,0.160835108400815,0.405927907308605,0.261010043478772,0.663381428863602,0.934716166497597,0.983546929827913,0.192551067340545,0.050746909700758,0.557373915340775,0.989069003431154
"Gene8",0.537464149705366,0.926797677087592,0.483733370463169,0.186209999109605,0.783198470005996,0.36654940764548,0.0152809609266268,0.290368850167835,0.391352192174376,0.847628690974801,0.00894093655316392,0.957318796812929
"Gene9",0.911363467775901,0.621928609581411,0.588411445370806,0.882560146363087,0.591773562030797,0.74159282932422,0.554030330640682,0.178296757988853,0.416019721437653,0.751202321989125,0.944491871930494,0.937812377820138
"Gene10",0.820517484618649,0.820036791072503,0.615820605267284,0.177942966379315,0.409238003518436,0.603039663696592,0.276396827889633,0.0596418458144608,0.297454731421088,0.697370562964316,0.45146753604628,0.453476109156678
"Gene11",0.648997429398736,0.588178934196449,0.223177077230391,0.424492691237155,0.432473593866037,0.399108307148789,0.698433368324497,0.618906364034834,0.290524478506001,0.784282389683194,0.480617146213726,0.235885117038653
"Gene12",0.410391552410981,0.957028385980289,0.851258116875045,0.244776935162284,0.698519122794831,0.794857298898491,0.874372362507014,0.119590714874245,0.159777469295089,0.189903038985087,0.334817733974508,0.411012255015143
"Gene13",0.496363418073052,0.138239594783444,0.15160354084592,0.848175818606951,0.0896400072317671,0.258180750267237,0.213734781577298,0.667362625481859,0.767328640871634,0.498294473052456,0.580151354854164,0.0826164576850366
"Gene14",0.808464717657819,0.0806914214962092,0.63363628408112,0.0610211077339687,0.527354836931176,0.265146064908321,0.233383694626045,0.506170771307524,0.82683208799964,0.523481133101657,0.172354128332571,0.54833234554008
"Gene15",0.492475387008909,0.180023176473245,0.634667140070529,0.620453746555608,0.483617767690773,0.770844519766591,0.750958806096453,0.922829826825313,0.0718181963317511,0.906013692693474,0.307350198959768,0.771007205370733
"Gene16",0.275049594340444,0.289408437006533,0.259939283875104,0.902764166647585,0.901235878898047,0.112908951712999,0.0252834395192047,0.230079846427239,0.941647644371435,0.766784459376823,0.780985271001403,0.67055082561771
"Gene17",0.585638711591973,0.26962498111751,0.833350447242864,0.129191352461904,0.292245041469221,0.539702483937136,0.541787510549,0.209344661573572,0.468718349007629,0.637628985898728,0.295828479268821,0.553114917300864
"Gene18",0.707788375151886,0.363162861506105,0.707272802262199,0.439993310806719,0.898887955127783,0.107186178912182,0.921876914031755,0.492443538714691,0.605904384074398,0.571399731515623,0.600235466978543,0.243331644168319
"Gene19",0.853043128085058,0.719482460579612,0.826568178185635,0.112220665188819,0.0595614321449537,0.355441777587167,0.865095958312079,0.885657423401683,0.963859979708393,0.0302041561013714,0.0286561218088549,0.508087182912079
"Gene20",0.865556512808054,0.8979434889496,0.541155009070526,0.189355753065439,0.556836551293595,0.293895097847168,0.160933003283591,0.258682559812405,0.872305324332924,0.830390094489955,0.664294097841993,0.826141266443656
"Gene21",0.590818750652184,0.924183858541162,0.33704561791732,0.293259383309148,0.666492685015353,0.620213343158741,0.306427858988707,0.752661404603822,0.448847094968842,0.604348282134573,0.699875098855962,0.96448424405449
"Gene22",0.0726578090464852,0.804767710130207,0.742621785197095,0.00291655951995829,0.86445796275151,0.0269559739781907,0.0200936743820505,0.261750409722746,0.846854513005792,0.00990626394565847,0.821094630626494,0.621975037104625
"Gene23",0.384887493037714,0.372809392557912,0.833026160323585,0.809372677159139,0.823157274779236,0.472346214325573,0.765509972184344,0.471940761580094,0.758833938179093,0.463586476878834,0.707485511626402,0.262744839638921
"Gene24",0.803157136275163,0.0432673127886996,0.0734766431466417,0.0139764548833571,0.121383645570564,0.201684957996543,0.756957113646065,0.619243725269145,0.176427636420293,0.0691275588700857,0.661751099631541,0.246994618147547
"Gene25",0.315441312342589,0.614466647335352,0.432039521598641,0.87386167924319,0.526502752649497,0.847636481244212,0.0045830390830038,0.0122941797613645,0.181763086567364,0.585532417458242,0.804544380297713,0.147164800611399
"Gene26",0.965911528817835,0.275450135382857,0.758477805454639,0.667599411924855,0.996466107430498,0.404509514895542,0.0618808788848815,0.0808514046108595,0.872246912579192,0.987407632302533,0.533021975192094,0.81239238089845
"Gene27",0.757113689358369,0.0692723840936815,0.0140940517476838,0.845876477607856,0.687537953546422,0.590044604615776,0.00771669149592735,0.0729436661384813,0.478826925485506,0.689522307962504,0.166843079940309,0.952379260179884
"Gene28",0.17435350644457,0.591099272566867,0.737810756855728,0.84137338354633,0.536630904882683,0.53955240225315,0.184410250916196,0.415907902706799,0.311171720422749,0.663123688820542,0.626231130581503,0.439125252211784
"Gene29",0.568460819480483,0.331852130540064,0.432710299955812,0.656944875793621,0.237817453875835,0.218651294141363,0.0894362847489679,0.698557844619138,0.172121667492176,0.484537755700986,0.409055162111926,0.709089691076
"Gene30",0.167955055612767,0.156858671268312,0.407748664910069,0.216025180306707,0.463803648857195,0.47945061742307,0.860738008320714,0.591584715983796,0.925142843857883,0.0199111879132138,0.383954881949511,0.18355548861732
"Gene31",0.00668670139309934,0.183812223071069,0.307029498977272,0.0941584633823528,0.751294637662142,0.16077146645118,0.416037988281023,0.898503289055043,0.56861294038504,0.376679221511388,0.0784149229028515,0.451038395262865
"Gene32",0.378285590765179,0.534084102293232,0.101217039667922,0.144284549076493,0.549830603697589,0.859103667926544,0.765392786310852,0.672654360143051,0.356625658188774,0.566445903477297,0.193401718234992,0.514090025858337
"Gene33",0.679556200377959,0.539799727491766,0.357201845532543,0.931403120819702,0.783009776794942,0.930599767299828,0.531864315747526,0.763286611452184,0.119867265554342,0.940995290654067,0.859779855134108,0.858315637701873
"Gene34",0.956293865701675,0.913792557824745,0.279732812705616,0.355130648017179,0.109906335557741,0.978668773696046,0.475777446935169,0.463536496528721,0.501497554052195,0.121325032346354,0.525771443304671,0.529407181581887
"Gene35",0.118452180380306,0.964926635334399,0.872899855328236,0.490169416902444,0.487921177704878,0.545035607270486,0.112893585123587,0.0914233909145112,0.069799556602097,0.749967913299878,0.297182147723088,0.804776632082576
"Gene36",0.223107341672024,0.463751053535113,0.694169455032374,0.263412711427631,0.478212220896636,0.49006067057316,0.411518148958042,0.68455521617466,0.200202008451325,0.19082130072312,0.227396837141771,0.531819594650787
"Gene37",0.181476065947242,0.4443414214564,0.123331655010987,0.48527913629559,0.00162411668745556,0.826652967851616,0.0451599693982006,0.164650619808199,0.188392785706254,0.525034484862537,0.461138084235125,0.135746774172649
"Gene38",0.270090817100933,0.474562332588001,0.171889181059078,0.157490041888586,0.593789812337678,0.902314529413004,0.3560408155668,0.0849746863831576,0.371557887664446,0.77439533193022,0.0479230447213473,0.339585395519191
"Gene39",0.449011445298184,0.413875033491151,0.766188767844014,0.571101840407625,0.949933931042952,0.0204426695643495,0.350096031814565,0.586655681804852,0.514264678104397,0.153396614406621,0.846214098849752,0.892001439732896
"Gene40",0.0429971269739795,0.321772312650648,0.922788101725188,0.0546632156111574,0.121185503785022,0.0307387006230338,0.561210250276774,0.36905299340145,0.798248980895919,0.150841609466496,0.869952797376373,0.359804518809129
"Gene41",0.10244545562912,0.352049633874718,0.930721205096047,0.444664757859293,0.434852631391232,0.23497370802194,0.176147966338214,0.150774606558446,0.148645801920831,0.800845882566022,0.0208330171424228,0.392621168077586
"Gene42",0.524648088568832,0.624663685213181,0.138747682360367,0.0634695550335947,0.360464882430419,0.00260116043197314,0.726334572831766,0.929132663375827,0.688170684808422,0.894858811121141,0.480406312110472,0.529133304729838
"Gene43",0.496351572326559,0.678830864723146,0.143884404780734,0.0164573226138655,0.929436727720055,0.597501449363558,0.744851661929606,0.934895935243409,0.858056077842624,0.762204564803065,0.583847125043552,0.748103419510636
"Gene44",0.987584200292269,0.350835681586066,0.0131723391444473,0.222645595282139,0.611291122674671,0.92280603748193,0.120590173402932,0.86013892057963,0.553278436064704,0.664918638053544,0.987464858434385,0.979604786996768
