,g,pval,qval
1863,IFI27L1,0.8983836678573327,0.8983836729030311
403,AL590556.1,0.8983836678575282,0.8983836729030311
1740,HDAC1,0.8983836678576795,0.8983836729030311
276,ADAMTS15,0.8983836678579823,0.8983836729030311
786,CARHSP1,0.8983836678580538,0.8983836729030311
551,ASH2L,0.8983836678594684,0.8983836729030311
705,C11orf95,0.8983836678598978,0.8983836729030311
378,AL356535.1,0.8983836678604702,0.8983836729030311
1270,ECHDC2,0.8983836678610261,0.8983836729030311
2206,MAX,0.8983836678613728,0.8983836729030311
1873,IGFBP2,0.8983836678645708,0.8983836729030311
926,CHST15,0.8983836678647524,0.8983836729030311
2107,LMF1,0.898383667866745,0.8983836729030311
1199,DLG1,0.8983836678682476,0.8983836729030311
1023,COX4I1,0.8983836678698438,0.8983836729030311
633,BANP,0.8983836678699595,0.8983836729030311
2220,MCRIP2,0.8983836678728382,0.8983836729030311
2065,LAS1L,0.8983836678730749,0.8983836729030311
278,ADAMTSL2,0.898383667873218,0.8983836729030311
1929,IRF1,0.8983836678738675,0.8983836729030311
1058,CSE1L,0.8983836678743298,0.8983836729030311
446,ANKRD11,0.89838366787597,0.8983836729030311
242,ACAP3,0.898383667879069,0.8983836729030311
1687,GRWD1,0.8983836678924332,0.8983836729030311
1150,DDR1,0.8983836678940845,0.8983836729030311
1305,EGFL7,0.8983836678546027,0.8983836729030311
1248,DUS1L,0.898383667853144,0.8983836729030311
472,AP005902.2,0.8983836678523734,0.8983836729030311
526,ARID1B,0.8983836678517625,0.8983836729030311
2499,NDUFB10,0.8983836678033583,0.8983836729030311
2610,NSD1,0.8983836678046353,0.8983836729030311
2612,NSDHL,0.8983836678061434,0.8983836729030311
2618,NT5C2,0.8983836678064132,0.8983836729030311
82,AC016734.1,0.8983836678069581,0.8983836729030311
231,AC146507.2,0.8983836678076736,0.8983836729030311
1938,ITGA5,0.8983836678087964,0.8983836729030311
271,ADAM28,0.8983836678097211,0.8983836729030311
974,CNOT11,0.8983836678106789,0.8983836729030311
78,AC015720.2,0.8983836678173556,0.8983836729030311
1613,GGA1,0.8983836678197169,0.8983836729030311
2406,MUL1,0.8983836678205975,0.8983836729030311
1290,EEF1B2,0.8983836678247091,0.8983836729030311
1283,EEF1A1P24,0.8983836678968696,0.8983836729030311
1316,EIF2B5,0.8983836678290961,0.8983836729030311
613,ATXN7L3B,0.8983836678336866,0.8983836729030311
498,AQP8,0.898383667834215,0.8983836729030311
2318,MROH1,0.8983836678354975,0.8983836729030311
1883,IGHM,0.8983836678357231,0.8983836729030311
747,C6orf136,0.8983836678361855,0.8983836729030311
1261,DYNLL2,0.8983836678409356,0.8983836729030311
1969,KCMF1,0.8983836678409577,0.8983836729030311
93,AC021074.1,0.8983836678425043,0.8983836729030311
562,ATF4,0.8983836678484214,0.8983836729030311
250,ACOT7,0.8983836678488728,0.8983836729030311
910,CHD3,0.8983836678490104,0.8983836729030311
1712,GTF3C6,0.8983836678497865,0.8983836729030311
137,AC090058.1,0.8983836678509589,0.8983836729030311
536,ARMC7,0.8983836678323325,0.8983836729030311
977,CNOT7,0.8983836678969082,0.8983836729030311
958,CLPTM1L,0.8983836679082688,0.8983836729030311
1948,IVNS1ABP,0.8983836679103385,0.8983836729030311
1394,ERGIC3,0.89838366797094,0.8983836729030311
1629,GLI4,0.8983836679714354,0.8983836729030311
1805,HNRNPC,0.8983836679788331,0.8983836729030311
1699,GSTZ1,0.8983836679821686,0.8983836729030311
1010,COPS7A,0.8983836679831264,0.8983836729030311
1462,FAM89B,0.8983836679843263,0.8983836729030311
1778,HK1,0.898383667986451,0.8983836729030311
195,AC109327.2,0.8983836679931221,0.8983836729030311
1878,IGHG1,0.898383667993155,0.8983836729030311
222,AC136624.2,0.8983836679933642,0.8983836729030311
1847,HYOU1,0.8983836679970411,0.8983836729030311
1511,FLII,0.8983836679981226,0.8983836729030311
1490,FES,0.8983836679983346,0.8983836729030311
793,CAST,0.89838366796963,0.8983836729030311
900,CFI,0.898383667999573,0.8983836729030311
2509,NDUFV2,0.8983836680017526,0.8983836729030311
2136,LTB,0.8983836680025673,0.8983836729030311
752,C7orf50,0.8983836680044057,0.8983836729030311
674,BOC,0.8983836680123979,0.8983836729030311
2596,NPM1P40,0.8983836680160306,0.8983836729030311
355,AL121886.1,0.898383668017902,0.8983836729030311
2422,MYL6P3,0.8983836680185131,0.8983836729030311
1665,GPM6A,0.8983836680185571,0.8983836729030311
828,CCND3,0.8983836680204725,0.8983836729030311
601,ATP6V1B2,0.8983836680205661,0.8983836729030311
100,AC022730.1,0.898383668025597,0.8983836729030311
1953,JDP2,0.898383668025597,0.8983836729030311
1389,ERCC1,0.8983836680257952,0.8983836729030311
1505,FKBP2,0.8983836680008059,0.8983836729030311
663,BLMH,0.8983836678022574,0.8983836729030311
1720,GYPC,0.898383667968276,0.8983836729030311
676,BOK,0.8983836679662834,0.8983836729030311
2210,MBD3,0.8983836679144611,0.8983836729030311
2398,MTND4P35,0.8983836679193379,0.8983836729030311
959,CLSTN1,0.8983836679204827,0.8983836729030311
312,AHCY,0.8983836679212699,0.8983836729030311
2384,MTCO2P2,0.8983836679215891,0.8983836729030311
566,ATG101,0.8983836679220074,0.8983836729030311
1110,CYB5R1,0.8983836679237578,0.8983836729030311
2446,NAGK,0.8983836679241266,0.8983836729030311
2106,LMBRD1,0.8983836679257833,0.8983836729030311
924,CHRAC1,0.8983836679286565,0.8983836729030311
387,AL389915.2,0.8983836679297243,0.8983836729030311
1090,CUEDC1,0.8983836679314527,0.8983836729030311
2166,MALAT1,0.8983836679321847,0.8983836729030311
535,ARMC6,0.8983836679674173,0.8983836729030311
813,CCDC57,0.8983836679329388,0.8983836729030311
1012,COPS9,0.8983836679337974,0.8983836729030311
1528,FOXP1,0.8983836679341662,0.8983836729030311
1553,FTSJ3,0.8983836679376395,0.8983836729030311
2049,KRT8P46,0.8983836679382559,0.8983836729030311
1526,FOXO1,0.8983836679388063,0.8983836729030311
1103,CXCR4,0.89838366794092,0.8983836729030311
1488,FEM1B,0.8983836679430115,0.8983836729030311
604,ATP6V1E1,0.8983836679485708,0.8983836729030311
2162,MAGI2.AS3,0.8983836679542733,0.8983836729030311
1069,CTBP1,0.8983836679563043,0.8983836729030311
1672,GPX1,0.8983836679568217,0.8983836729030311
703,C11orf24,0.8983836679568712,0.8983836729030311
193,AC107983.1,0.898383667957229,0.8983836729030311
1781,HLA.DQB1,0.8983836679332581,0.8983836729030311
1625,GIT1,0.8983836676046887,0.8983836729030311
1663,GPCPD1,0.8983836678015089,0.8983836729030311
1868,IFNGR2,0.8983836677963679,0.8983836729030311
863,CDC37,0.898383667672209,0.8983836729030311
2445,NADSYN1,0.8983836676746695,0.8983836729030311
1897,ILF3,0.8983836676752254,0.8983836729030311
2306,MOXD1,0.8983836676753795,0.8983836729030311
2028,KRT18P15,0.8983836676768051,0.8983836729030311
2551,NKIRAS2,0.8983836676775977,0.8983836729030311
1936,ISYNA1,0.8983836676789463,0.8983836729030311
1514,FLYWCH1,0.8983836676830139,0.8983836729030311
2564,NOL11,0.8983836676839771,0.8983836729030311
255,ACP5,0.8983836676860082,0.8983836729030311
2233,MED28,0.8983836676875329,0.8983836729030311
2545,NFYB,0.8983836676877035,0.8983836729030311
1044,CREB3,0.898383667690318,0.8983836729030311
1843,HTT,0.8983836676912179,0.8983836729030311
1552,FTLP3,0.898383667692726,0.8983836729030311
1882,IGHGP,0.8983836676956075,0.8983836729030311
534,ARMC10,0.8983836676971542,0.8983836729030311
2461,NBPF11,0.8983836676976056,0.8983836729030311
1543,FTH1P12,0.8983836677037098,0.8983836729030311
2622,NTPCR,0.8983836677052839,0.8983836729030311
2529,NEURL3,0.8983836677100836,0.8983836729030311
68,AC010677.1,0.8983836677105405,0.8983836729030311
1302,EFNA1,0.8983836677108157,0.8983836729030311
2046,KRT19P1,0.8983836677108542,0.8983836729030311
1217,DNAJC4,0.8983836677117569,0.8983836729030311
512,ARHGAP27,0.8983836677137714,0.8983836729030311
1246,DTX3L,0.8983836677141788,0.8983836729030311
2578,NOXA1,0.8983836676687469,0.8983836729030311
1464,FAR1,0.8983836676686698,0.8983836729030311
11,ABHD10,0.8983836676685818,0.8983836729030311
2584,NPIPA5,0.8983836676668755,0.8983836729030311
1287,EEF1A1P6,0.8983836676070776,0.8983836729030311
1307,EHD1,0.8983836676076169,0.8983836729030311
1220,DNASE2,0.8983836676136056,0.8983836729030311
807,CCDC12,0.8983836676153449,0.8983836729030311
1278,EEF1A1P12,0.898383667617596,0.8983836729030311
1427,FAAP100,0.8983836676202326,0.8983836729030311
2002,KIFC3,0.8983836676214546,0.8983836729030311
1070,CTBP2,0.8983836676223903,0.8983836729030311
872,CDK10,0.8983836676228416,0.8983836729030311
598,ATP6V0D1,0.898383667625968,0.8983836729030311
982,COA3,0.8983836676297219,0.8983836729030311
2139,LTBP3,0.8983836676302338,0.8983836729030311
2035,KRT18P34,0.898383667633652,0.8983836729030311
1184,DHCR24,0.8983836677146825,0.8983836729030311
2073,LETM1,0.8983836676340647,0.8983836729030311
86,AC019181.1,0.8983836676348408,0.8983836729030311
1424,EZR,0.8983836676351986,0.8983836729030311
1291,EEF1B2P1,0.8983836676375875,0.8983836729030311
2581,NPEPPS,0.898383667638969,0.8983836729030311
1288,EEF1A1P7,0.8983836676404882,0.8983836729030311
614,AUP1,0.898383667646097,0.8983836729030311
644,BCL6B,0.8983836676517278,0.8983836729030311
1530,FOXRED1,0.8983836676530819,0.8983836729030311
1617,GGT1,0.8983836676568027,0.8983836729030311
2269,MICALL2,0.8983836676583383,0.8983836729030311
47,AC007683.1,0.898383667660452,0.8983836729030311
1568,FYTTD1,0.8983836676609914,0.8983836729030311
1206,DMWD,0.8983836676653288,0.8983836729030311
1942,ITGB6,0.8983836676341418,0.8983836729030311
1626,GJB1,0.8983836677152466,0.8983836729030311
672,BMS1P8,0.8983836677153346,0.8983836729030311
573,ATL2,0.8983836677153457,0.8983836729030311
1479,FBXO31,0.8983836677517781,0.8983836729030311
42,AC006511.3,0.898383667758642,0.8983836729030311
127,AC074085.2,0.8983836677590603,0.8983836729030311
2570,NOP53,0.8983836677591539,0.8983836729030311
110,AC027575.1,0.8983836677627206,0.8983836729030311
178,AC099336.2,0.8983836677635297,0.8983836729030311
495,APRT,0.8983836677657809,0.8983836729030311
2510,NDUFV2P1,0.8983836677668873,0.8983836729030311
1129,DAXX,0.898383667767146,0.8983836729030311
150,AC092017.2,0.8983836677673276,0.8983836729030311
1502,FKBP10,0.8983836677685716,0.8983836729030311
889,CELA2B,0.8983836677688578,0.8983836729030311
2374,MT2P1,0.8983836677718191,0.8983836729030311
2432,MZF1,0.89838366775098,0.8983836729030311
837,CCT4,0.8983836677754519,0.8983836729030311
77,AC013356.1,0.8983836677784242,0.8983836729030311
3248,ACOT8,0.8983836677823762,0.8983836729030311
2480,NCSTN,0.8983836677837522,0.8983836729030311
2534,NFATC3,0.8983836677841155,0.8983836729030311
240,ACADS,0.8983836677867576,0.8983836729030311
1807,HNRNPDL,0.898383667787275,0.8983836729030311
745,C5orf15,0.8983836677900161,0.8983836729030311
59,AC009078.2,0.89838366779137,0.8983836729030311
2599,NQO2,0.8983836677922837,0.8983836729030311
983,COA4,0.8983836677932691,0.8983836729030311
1606,GDF5OS,0.8983836677935607,0.8983836729030311
768,CALU,0.898383667793968,0.8983836729030311
1507,FKBP8,0.898383667795933,0.8983836729030311
2383,MTCO2P12,0.8983836677758977,0.8983836729030311
2409,MX1,0.8983836678000282,0.8983836729030311
52,AC008412.1,0.8983836677481839,0.8983836729030311
1813,HNRNPU,0.8983836677447108,0.8983836729030311
666,BLOC1S6,0.89838366771572,0.8983836729030311
2060,LAMTOR5,0.8983836677172391,0.8983836729030311
396,AL512422.1,0.8983836677173712,0.8983836729030311
1890,IL13RA1,0.8983836677175859,0.8983836729030311
1574,GABBR2,0.8983836677185932,0.8983836729030311
623,B4GAT1,0.8983836677186262,0.8983836729030311
1252,DUSP4,0.8983836677193198,0.8983836729030311
833,CCNY,0.8983836677200903,0.8983836729030311
2381,MTCO1P40,0.8983836677212187,0.8983836729030311
1410,ETV6,0.8983836677213453,0.8983836729030311
1337,EIF4EBP1,0.8983836677218682,0.8983836729030311
173,AC097658.1,0.8983836677220554,0.8983836729030311
2053,LAD1,0.898383667722226,0.8983836729030311
494,APPL2,0.898383667747028,0.8983836729030311
582,ATP2C1,0.8983836677225672,0.8983836729030311
2134,LSP1,0.8983836677240534,0.8983836729030311
1258,DYNC1I2,0.8983836677257707,0.8983836729030311
3,AATF,0.8983836677268826,0.8983836729030311
2397,MTND4P24,0.8983836677276531,0.8983836729030311
91,AC020983.1,0.8983836677289411,0.8983836729030311
2006,KLF13,0.8983836677306805,0.8983836729030311
290,ADORA1,0.8983836677312309,0.8983836729030311
1119,CYSTM1,0.8983836677334106,0.8983836729030311
1845,HYAL1,0.8983836677367462,0.8983836729030311
2410,MX2,0.8983836677388487,0.8983836729030311
285,ADGRG1,0.8983836677428778,0.8983836729030311
2086,LIMK1,0.8983836677428889,0.8983836729030311
918,CHMP1B,0.8983836677430375,0.8983836729030311
1249,DUS3L,0.8983836677232222,0.8983836729030311
1968,KBTBD2,0.8983836672026488,0.8983836729030311
16,ABHD4,0.8983836672025498,0.8983836729030311
478,AP3S2,0.8983836671992472,0.8983836729030311
1370,ENSA,0.8983836666151056,0.8983836729030311
2193,MAPRE2,0.8983836666157881,0.8983836729030311
2104,LMAN2L,0.8983836666175495,0.8983836729030311
341,AL049714.1,0.8983836666184081,0.8983836729030311
937,CITED4,0.8983836666204116,0.8983836729030311
180,AC099560.2,0.898383666625338,0.8983836729030311
143,AC090826.1,0.89838366662607,0.8983836729030311
2010,KLF3,0.8983836666271763,0.8983836729030311
1335,EIF4A1P7,0.8983836666301871,0.8983836729030311
363,AL139039.2,0.8983836666314201,0.8983836729030311
2595,NPM1,0.898383666632532,0.8983836729030311
909,CHD2,0.8983836666343373,0.8983836729030311
2144,LYPD6B,0.8983836666347337,0.8983836729030311
1475,FBXL17,0.8983836666353171,0.8983836729030311
385,AL365357.1,0.8983836666355483,0.8983836729030311
