"","combinedPval","adjustedPval"
"A2M",0.478585870433447,1
"AAAS",0.283922633472291,1
"AAK1",0.38014119890161,1
"AAMDC",0.302605006125655,1
"AAMP",0.448461935096388,1
"AARS",0.58283409428206,1
"AATF",0.534926200134361,1
"ABCA2",0.65088725690418,1
"ABCA7",0.904948439202851,1
"ABCC3",0.214868061494415,1
"ABCD1",0.134284206037871,1
"ABCF1",0.782735406748378,1
"ABCF2",0.262951709106824,1
"ABCF3",0.290702233906463,1
"ABCG1",0.886520275941523,1
"ABHD11",0.471330787863098,1
"ABHD12",0.28091196129095,1
"ABHD14B",0.970355476666884,1
"ABHD17A",0.18059319043416,1
"ABHD17AP3",0.134121168276487,1
"ABHD17C",0.0133199545628718,1
"ABHD2",0.935911698805763,1
"ABHD4",0.192794337964763,1
"ABI2",0.771386762837704,1
"ABI3",0.22260577534182,1
"ABL1",0.365223095340088,1
"ABLIM1",0.421702115661652,1
"ABR",0.265979546323181,1
"ABT1",0.132013883087141,1
"ABTB1",0.80880770830281,1
"AC000081.1",0.438921342742385,1
"AC000089.1",0.329831022729452,1
"AC002075.2",0.586819418247434,1
"AC002350.1",0.803937772623302,1
"AC002558.1",0.205797892251998,1
"AC004057.1",0.179329250638032,1
"AC004069.1",0.469780156418171,1
"AC004217.1",0.92120008908938,1
"AC004223.1",0.77114243644884,1
"AC004386.1",0.383420202086061,1
"AC004448.1",0.232931487599038,1
"AC004448.2",0.173346301628529,1
"AC004453.1",0.0922698524675698,1
"AC004552.1",0.684989005112785,1
"AC004556.1",0.488439555894573,1
"AC004692.1",0.88901535444963,1
"AC004801.2",0.689610031643607,1
"AC004884.1",0.337029200352553,1
"AC004890.1",0.243135489941037,1
"AC004910.1",0.409258493388666,1
"AC004938.1",0.381354024597343,1
"AC005019.1",0.435608613272396,1
"AC005099.1",0.00390954004181188,1
"AC005165.2",0.848833779002152,1
"AC005253.1",0.226181486550942,1
"AC005262.1",0.0397741472811497,1
"AC005519.1",0.728690137315998,1
"AC005521.1",0.683090164822102,1
"AC005550.2",0.0963597366800232,1
"AC005786.1",0.0379459191616764,1
"AC005840.1",0.887679763953444,1
"AC005912.1",0.513338826892866,1
"AC005944.1",0.0510012009809312,1
"AC006064.4",0.879646468045952,1
"AC006122.1",0.331901638438623,1
