,g,pval,qval
3196,AL049873.1,1.9190022459980582e-08,7.100308310192815e-07
3218,AP000354.1,1.9975598175570042e-08,7.324385997709015e-07
4045,GABRP,2.05270659359158e-08,7.45938913921226e-07
2005,AC009413.1,2.111465347010011e-08,7.605012356044907e-07
1895,HLA.DMB,2.1992384136027e-08,7.851666967862271e-07
3159,AC092670.1,2.2514385134009274e-08,7.899443749604978e-07
3382,ELN,2.2345194250483758e-08,7.899443749604978e-07
3369,EEF1A1P7,2.4282804766961874e-08,8.447095333464515e-07
1755,AC005550.2,3.071951315547494e-08,1.0595628690066357e-06
2572,EEF1A1P11,3.13085636305388e-08,1.0708054955991002e-06
1844,CEMIP,3.6637623490598514e-08,1.2426260633894663e-06
1899,HMGB3P17,4.078977500210357e-08,1.360773641463619e-06
2682,FTH1P4,4.072742898486581e-08,1.360773641463619e-06
2027,AC020898.1,4.130321473727605e-08,1.3666998697618985e-06
2079,AC092991.1,4.462147185080312e-08,1.4645918583287797e-06
3003,MT1XP1,6.065049473757966e-08,1.9747801086555937e-06
4065,IER3,6.522513040785327e-08,2.106875244126689e-06
3903,CLDN2,6.913207184489067e-08,2.215492381170906e-06
1768,AC022701.1,7.066952856238373e-08,2.2470701660070452e-06
2579,EEF1A1P5,7.297925030957941e-08,2.3025236337983582e-06
1808,AL163973.1,7.497643117471142e-08,2.3473390375467344e-06
2084,AC093698.1,7.739018337282744e-08,2.404412567384791e-06
2539,DEFB1,8.033610932045576e-08,2.4770300373807195e-06
1819,AP000942.1,8.223332192969224e-08,2.516463310179304e-06
1871,FGG,9.082728236187165e-08,2.758709247856848e-06
2816,IGLC3,9.413025225946114e-08,2.8378527903407915e-06
2076,AC092725.2,9.513871013222541e-08,2.847165810574687e-06
2031,AC023424.2,9.596934547051461e-08,2.8510601172627333e-06
1770,AC025750.2,1.021873256012995e-07,3.0137856173716595e-06
1671,LEFTY1,1.0409141848466419e-07,3.0478566419610307e-06
2815,IGKC,1.0976026665332483e-07,3.1908877519930864e-06
2083,AC093663.2,1.105872440287925e-07,3.192128249625429e-06
2397,CD24,1.1342404293568364e-07,3.22822276047715e-06
3133,AC016596.1,1.1287380818902903e-07,3.22822276047715e-06
3175,AC138123.1,1.1461319382455315e-07,3.2394145754578563e-06
2225,AL445433.1,1.1641428732112047e-07,3.267628616530761e-06
2723,GPNMB,1.5985804191487318e-07,4.456316647900917e-06
3946,GPX4,1.7391716256032197e-07,4.8152574940170775e-06
2910,LUM,1.779578222560474e-07,4.821461146747679e-06
3906,CNN2,1.7887976244690407e-07,4.821461146747679e-06
3648,ANPEP,1.7701574317463553e-07,4.821461146747679e-06
2526,DCN,1.7553706288531146e-07,4.821461146747679e-06
2794,HSPB6,1.8243039179299814e-07,4.884813780246726e-06
2057,AC087477.1,1.8589357164700004e-07,4.9450120039430735e-06
3456,H1F0,1.9070317014424631e-07,5.040012353812224e-06
1591,GJB2,1.9473288759286334e-07,5.113308725825508e-06
3799,LMNA,2.0681694246071913e-07,5.395800998814916e-06
1815,AL954705.1,2.1435936004010614e-07,5.5569592061352355e-06
3884,BGN,2.1780859027487054e-07,5.5753519648976294e-06
2091,AC098614.2,2.1701256225359344e-07,5.5753519648976294e-06
3147,AC067796.1,2.3420342065705313e-07,5.957549512963789e-06
