,g,pval,qval
3039,NACAP3,0.01174432389962965,0.05089163202460569
4048,GSPT1,0.01179585332961719,0.0510192593533921
248,B4GALT1,0.011809072947692068,0.051022215389709885
2127,AC127070.1,0.011822871219695164,0.05102766263431529
1544,EIF3K,0.01184709865162592,0.051078063042497346
1548,ELOVL5,0.011937801651713209,0.051414658965579646
2228,AL512422.1,0.012066637851811612,0.051914604711282515
1356,AC063943.2,0.012093571547963977,0.051975539810151405
3703,CST1,0.012126901339548413,0.0520638063839262
4013,NBPF14,0.01218149816383618,0.05224309539179479
1692,MBOAT7,0.012207359359035719,0.0522988974645004
3430,FXYD2,0.012234364737752967,0.05235947895126664
1521,DMKN,0.012251321616049249,0.05237697371567273
2942,MEG3,0.012381520016318093,0.052878055053950296
1373,ACLY,0.012571294132113775,0.05363225064748749
1732,NFATC3,0.012662633691161718,0.05369557139421847
2037,AC034207.1,0.01262816262947497,0.05369557139421847
1919,LCP2,0.012653032118421836,0.05369557139421847
857,HADH,0.012636054243278183,0.05369557139421847
566,DHDDS,0.012654755332185297,0.05369557139421847
3449,GPRC5B,0.01266529448119158,0.05369557139421847
2227,AL451074.5,0.01289173670139765,0.05455601672804374
4037,CLDN7,0.012895058499355794,0.05455601672804374
2791,HSPB1,0.013010655192362108,0.05498791966034661
1564,FADS2,0.013168529182550959,0.05553980701863461
3761,HES4,0.01315712022652571,0.05553980701863461
1664,KRT18P18,0.013206949966258374,0.055644188781233526
2165,AGBL5,0.013287724776225862,0.055868842809131465
1452,C4orf3,0.013277351207288013,0.055868842809131465
13,AC002558.1,0.01335905896150924,0.05611080492605017
1364,AC107956.1,0.013438863834542847,0.056387810109885965
1581,FRMD8,0.013456497919406507,0.05640365245312511
1716,NAMPTP1,0.013590359621001191,0.056869731226167584
3570,MT.ND1,0.01359563844792655,0.056869731226167584
1911,KDM1A,0.013621316451103982,0.056918642665290765
2602,EIF4A1P7,0.013663085016896503,0.05703462155771155
2197,AL121972.1,0.013692974291505955,0.05710082517052176
3900,CFH,0.013823643896794469,0.05758672534283878
2309,ATP5C1,0.014014017242014898,0.058141743297656104
962,ISG20,0.014010561625300677,0.058141743297656104
2123,AC126389.1,0.01399037620808441,0.058141743297656104
1699,MIR200CHG,0.013990844600209162,0.058141743297656104
2680,FSTL3,0.014065530055979214,0.058194612445672735
1162,MINDY2,0.014061418686859062,0.058194612445672735
2773,HNRNPA0,0.014069655687111049,0.058194612445672735
1449,C16orf62,0.014107923701997205,0.058293654281348854
3534,MALL,0.014128689634289926,0.05832025031598377
3167,AC120036.1,0.014167796789802845,0.058422424452378496
3334,CXorf40B,0.014233526840791932,0.058634062997999156
1988,AC006534.1,0.014252211382416613,0.05865166868193692
1757,AC006970.1,0.014288526621366038,0.05874172055450482
740,FP236383.2,0.014372843622147746,0.058969227361029566
2122,AC124916.1,0.014372164744479221,0.058969227361029566
2264,ANXA11,0.014416653658964607,0.05908940623563539
2204,AL136968.2,0.014490672992274578,0.05927340610910305
1583,FXR1,0.014479795287060448,0.05927340610910305
3977,KRT18P39,0.014577745416436638,0.059552451148146036
1546,EIF4A2,0.014588155723513907,0.059552451148146036
2271,AP001992.1,0.014613186299274883,0.05959485795395669
621,EEF1DP2,0.014663640731893302,0.059740758537343085
3660,ATG13,0.014691498946465598,0.05979440071211498
3459,HINT1,0.014729578805574128,0.059855482969650146
3847,AC020916.1,0.014737548147861101,0.059855482969650146
3890,CAPZB,0.014750626392766364,0.059855482969650146
2892,LIX1L,0.014811742034863018,0.06004361561941483
3704,CST4,0.014870434563615365,0.06011024385029026
3197,AL137784.1,0.014872485394899826,0.06011024385029026
2661,FIBP,0.014858181328709974,0.06011024385029026
1702,MPI,0.015134586671008199,0.06110889657837636
3853,AC107983.1,0.015173413839824179,0.061204949780063835
3311,COQ7,0.01527016943541537,0.061534247130832234
2224,AL441963.1,0.015339576407424449,0.06175279523068002
2068,AC091042.1,0.015364772419045769,0.06179310646790146
1451,C1QC,0.015395877307633254,0.06185707862000726
3013,MTND1P23,0.01542917980309133,0.061929745363492814
3209,AL590867.2,0.015454667453275617,0.061970932546632274
3417,FGFR4,0.015527042419478998,0.06219986481031449
922,IDH3A,0.015621545611215759,0.06251690328185658
1057,LINC00116,0.015687296360823555,0.0627183656076148
1287,NES,0.015704151274090083,0.06272413708100749
251,BABAM2,0.015878384331271644,0.06335786689046627
2940,MECR,0.015924665092157952,0.06348030061222612
2692,GAA,0.015973878736666336,0.06361417461666535
1348,AC008494.1,0.016068346256859045,0.06386539967325812
1462,CBX3,0.016064526223123266,0.06386539967325812
2635,FAAP100,0.016194204728481543,0.06430284219016574
779,GCAT,0.016336993302125458,0.06480659136418189
2591,EHMT2,0.016367213952676818,0.06486325295754104
1982,AC005521.1,0.016412355504185183,0.0649788783093713
2131,AC135068.6,0.01645862086138694,0.06509872391238566
1478,CFB,0.016597182590518123,0.06558304188680462
3699,CRIP1P4,0.01662148556936327,0.06561536980340302
2144,ACAA2,0.016737303087885236,0.06600854996869468
3493,JUND,0.016998862366239376,0.06697518860657721
1012,KLF13,0.01703250900657516,0.06697807889542115
1720,NBDY,0.017018878692706574,0.06697807889542115
895,HNRNPA1,0.017111952975815026,0.06722552954784475
2693,GABBR2,0.017247089200704502,0.06769108297672836
2321,ATRAID,0.01729546946457039,0.06781556909518448
1459,CAVIN3,0.017415972252019518,0.06822233596315634
3015,MTND4P24,0.017435610906811116,0.0682335926833858
3973,KIFC2,0.017466869143160757,0.06829025688056127
2349,BTG1,0.017492690682580636,0.06832557685038693
2656,FBXW5,0.017627271916996534,0.06878523173746491
81,ADAM10,0.017750162167079475,0.06919842913794393
3055,NDRG2,0.017891949188337253,0.06968443368089246
3985,LMO7,0.017927487531494868,0.06975609393229838
1584,G6PC3,0.018021704829305984,0.07005571982356767
3136,AC022018.1,0.018222003542969545,0.07076675040065464
3999,MID1,0.01832007819522763,0.0710798076783379
2664,FKBP5,0.018352086575144533,0.07113618320079833
445,CNIH4,0.018422602540325683,0.07128115449351911
2753,HECTD1,0.01842451462584327,0.07128115449351911
1457,CAPZA1,0.018475256408177376,0.07140958554727628
220,ATF7IP,0.01855470486543187,0.07164862315209461
2531,DDT,0.01875042787955794,0.07233577390502448
2955,MINOS1,0.018905196454037432,0.07286377799993593
2735,GSTM4,0.019011004634485684,0.0732022600400726
3498,KCNQ1,0.019065324492377633,0.07327277684983662
3041,NAP1L1,0.01905228466002662,0.07327277684983662
933,IGHM,0.01919919974333495,0.07364820259695876
3203,AL355472.2,0.019188432814946088,0.07364820259695876
3992,MAN1B1,0.019368740388373884,0.07422860017013343
4025,AC004453.1,0.019399038287240655,0.07427477500382829
3518,LINC00174,0.019512767387279473,0.07464000306976265
1419,ARPC3,0.019562669816968414,0.07476062549771029
1746,NRIP1,0.01961814356334035,0.07490229296697488
1520,DHX8,0.019641656591991352,0.07492178287666804
3047,NBPF9,0.019743985143559906,0.07524159132424046
275,BLMH,0.019834972932449735,0.0755176237933306
2593,EIF2S3,0.019853836183432283,0.07551879744539196
772,GARS,0.020170731884858295,0.07665254787243068
1561,ESRRA,0.020292766761956238,0.07704436634436743
1495,COX6A1P2,0.020360195791839564,0.07715642166926166
935,IL10RB,0.020341638903722647,0.07715642166926166
2696,GAMT,0.020398498972361123,0.07722966587675327
3866,ALDH3B1,0.020473980942563474,0.07744340375114622
3610,NPIPB4,0.02056503563007883,0.0776574676439777
2327,B4GALT2,0.02058597863327738,0.0776574676439777
3220,AP001324.1,0.020587815132150356,0.0776574676439777
3105,NSUN5P1,0.020656185471670696,0.0778432174719442
1488,CNP,0.020786049655619365,0.07826014995223943
1493,COQ8A,0.020857940961010568,0.07845824372579761
2516,CYSTM1,0.020942928246935333,0.07870518740999705
1579,FNTA,0.02097122640092175,0.0787388297525383
1975,AC004884.1,0.021091360588609498,0.07911690100980706
3993,MAP2K2,0.021174858459084955,0.07935697415145099
1742,NPIPB15,0.02123162227827502,0.07949650659850904
1375,ACTR2,0.021373698930148732,0.07982492710577889
3442,GMPPA,0.02137817458115454,0.07982492710577889
2352,BX679664.1,0.02136922339423797,0.07982492710577889
758,GABARAPL1,0.021429111232811215,0.07994178067602352
1446,BST2,0.021473140271844993,0.08003267482271897
2960,MIXL1,0.021628663406753734,0.08024490434410911
1137,MEF2C,0.021590675848417895,0.08024490434410911
2242,AL663070.1,0.021625595579704116,0.08024490434410911
960,IRF3,0.021614349675712408,0.08024490434410911
2358,C1QA,0.02156899080196828,0.08024490434410911
3759,HDLBP,0.021788231024868376,0.08076329715046839
1517,DEF6,0.021895337706070772,0.08108646448017111
1721,NBEAL2,0.022220897217533064,0.08221731970487234
1511,DDA1,0.02226796762437966,0.08231664689484579
1999,AC008412.1,0.02242082044875271,0.0828064784268816
129,AL158156.1,0.022543745975750262,0.08318499195041121
2400,CD44,0.02261190903578869,0.08336093276780794
1422,ASRGL1,0.022645144848142285,0.08340790907867791
1479,CFD,0.022760974632253794,0.08375874028324859
2858,KIF3B,0.02282396408783194,0.08391466471316711
1739,NOP14,0.022884672851752552,0.08406193006013798
2722,GPI,0.0229978140313728,0.08435194574026943
2355,C14orf2,0.02300507611098257,0.08435194574026943
1838,CARD10,0.023159253751380615,0.08484083057436463
2378,CAPG,0.02328426876912104,0.0852220988222326
3904,CLDN5,0.023314942937068817,0.08525769789206657
3235,ARRB2,0.023512200457058596,0.08590184547596813
1947,NCKAP1L,0.02357281766578856,0.0860460698652551
1476,CENPT,0.02360038330747405,0.08606949826292058
2384,CBWD1,0.023679043251449317,0.08620188375080386
2196,AL121886.1,0.023675190081025588,0.08620188375080386
3127,AC010343.1,0.023733433925841818,0.08632267746038982
2605,EIF4G2,0.0238556013775143,0.08662148188924135
2191,AL109936.1,0.023858152628461804,0.08662148188924135
2585,EEF1DP5,0.02392010250655019,0.08676899928846638
2922,MAP3K13,0.023991191187004435,0.08688214829251387
3746,GGT3P,0.02399398886505788,0.08688214829251387
1995,AC008021.1,0.024126583950367264,0.08728461926932868
1989,AC007066.1,0.02417475327763363,0.08738121300174856
1524,DPM2,0.024274207165411732,0.08754287278957627
1167,MKNK1,0.024284005744332093,0.08754287278957627
3939,FSCN1,0.02426954624369715,0.08754287278957627
2604,EIF4EBP2,0.0243429591076596,0.08767773767095095
2099,AC104339.1,0.024527071513720577,0.08818478892300596
1552,EML2,0.024517046544740295,0.08818478892300596
3922,DGKZ,0.024613672996417035,0.08834007856738742
2142,AC243732.1,0.024598746002780225,0.08834007856738742
1113,MAPK8IP3,0.02491539437542578,0.08913193354869893
2732,GSTK1,0.02490017133628819,0.08913193354869893
2487,CREB3L1,0.024921862677293904,0.08913193354869893
1427,ATP1B3,0.024921901812879454,0.08913193354869893
465,COPZ2,0.025174939951090547,0.08995786268739116
3111,AC000089.1,0.025289574733616926,0.09022692293897644
136,AL390119.1,0.02529457471090224,0.09022692293897644
1374,ACOT9,0.02546274005680993,0.0906678495461211
2937,MCRIP1,0.025442488484631154,0.0906678495461211
4062,MT.ATP6,0.025545772144932477,0.0908839970540867
2905,LTBP1,0.025706290304934765,0.09137519785247554
1700,MKKS,0.025995546766164446,0.09232275334929257
851,H2AFZ,0.0260796949460379,0.09254085303432803
4040,DGAT1,0.026128400951476505,0.09263291974957262
133,AL356441.2,0.026265410703614323,0.09303761667859903
3667,BCAR1,0.026360709987787945,0.0932939910002582
1748,NT5C2,0.026442937543156297,0.09350369748101314
2423,CERS4,0.02649514087738658,0.09352577915955193
2826,INSR,0.02647569981490472,0.09352577915955193
2479,COX4I1,0.02668330804093777,0.09410837411318608
1656,JAK3,0.026721574113150126,0.09416173735110044
2939,MDK,0.02675736127866335,0.09420628062643585
1597,GNAQ,0.02713475342951399,0.09545241699059805
2268,AP000936.3,0.027160357100551202,0.0954599770287076
745,FRYL,0.027228418030227353,0.09561661896723496
1991,AC007182.2,0.027261139534717427,0.09564899819508615
2838,IVNS1ABP,0.02746780922159675,0.09629111415322891
2558,DPH5,0.027562613943241332,0.09654030873407249
2980,MRC2,0.02764170710417646,0.09673409106964592
1972,AC004448.2,0.027734247366183684,0.09697455908966288
1727,NDUFS6,0.027825437384275786,0.09720989712789911
2060,AC090058.1,0.028194058549601775,0.098413223239176
2630,EXOC4,0.028494144837302393,0.09937546657054049
3852,AC091153.1,0.028616508733395607,0.09970480151919288
3733,FHIT,0.028637570755758346,0.09970480151919288
2213,AL357055.1,0.028791327741329753,0.10015444778394196
3439,GIPC1,0.028829824485342437,0.10020272045716799
1704,MPV17,0.029009968342738057,0.1007428081526825
1609,GTF2IP1,0.029199098766613307,0.1013131559932789
2681,FTH1P2,0.029332757885198513,0.10169022537713625
1436,ATPIF1,0.029415483210823656,0.10180358560208527
1652,ITGAV,0.029393129538829,0.10180358560208527
2621,EPHA2,0.029473247269289904,0.10191683635175014
2819,IL18,0.029528988019717373,0.10202290427865
4026,AC008481.1,0.029582195594725857,0.10212004755770504
2332,BCAT2,0.02963472124397526,0.10212812486281059
2322,ATRX,0.02963146543421713,0.10212812486281059
3919,CTSS,0.029716039612182832,0.10223523349246333
696,FAM131A,0.029694369474828064,0.10223523349246333
3663,ATP6V0D1,0.029763257720761827,0.10231119841511878
2410,CDK11B,0.029872635697740457,0.1026005293584841
2087,AC097358.1,0.030345117928316512,0.10396012623589916
3917,CTHRC1,0.03031017752092169,0.10396012623589916
2666,FLRT2,0.030326995767013476,0.10396012623589916
1686,MAP4K5,0.03069460191033979,0.10506899055936329
1361,AC097638.1,0.030918793059623306,0.10574746869972004
1467,CCS,0.031049323086316916,0.10610473968204018
3858,AGPAT2,0.03116669890594259,0.10641649710334426
1507,CXXC5,0.031221720387736962,0.10651500584919484
375,CCT2,0.03143820426528998,0.10707405134705458
2173,AKR1C1,0.03141251126422806,0.10707405134705458
1030,KRT80,0.03154184772267521,0.10724755240709115
1701,MLLT6,0.03154142108136049,0.10724755240709115
1649,IRF1,0.03167400273862353,0.10752973847993112
1713,MYL6P3,0.03167767971435809,0.10752973847993112
2405,CD68,0.031931667662848495,0.10830157282316115
2159,ADIPOR1,0.0320321131041883,0.10846148114313342
4032,BCAP31,0.03200745018060003,0.10846148114313342
1646,ILVBL,0.032145973942080075,0.10875653694452694
1549,ELOVL7,0.03223697548078319,0.1088213918950765
2290,ARF1,0.032245355927632,0.1088213918950765
1121,MARVELD1,0.032237141783783674,0.1088213918950765
1510,DCAKD,0.03227704920750485,0.10883810296151179
153,ANAPC11,0.03233805036654669,0.10895353062238827
1183,MRPL10,0.032457625985717664,0.1092659534837642
2587,EEF1GP5,0.03266953169744269,0.10988842480048903
1599,GOLGA2P5,0.03271495408536207,0.10995034114568425
3145,AC044810.1,0.0327459317285137,0.10996364862627951
2890,LINC01001,0.032872371778542075,0.1102972408397908
370,CCNC,0.032904855535836,0.11031528997599054
3626,AC098934.3,0.03302096537207844,0.11044477004729943
1636,HYOU1,0.032993533088489846,0.11044477004729943
1421,ASAH1,0.03302488578564211,0.11044477004729943
2061,AC090255.1,0.03324301989641654,0.11101951199759583
3734,FKBP2,0.033251298556528086,0.11101951199759583
1682,MACROD1,0.03336300904207301,0.11121003014024337
2778,HNRNPM,0.0333596600538677,0.11121003014024337
1336,NSUN5,0.033493750790715815,0.11155447276449539
3371,EFEMP1,0.033738452545097664,0.11227759759488756
2754,HEMK1,0.03379199896139229,0.11236391811508711
2832,ISCU,0.033964249766546994,0.11284448697946634
2363,C1orf198,0.034095058370675724,0.11309444789621043
3080,NOB1,0.03408424210894667,0.11309444789621043
3940,FUT3,0.03415397462518155,0.11319761948248282
4066,MAP3K12,0.03418273137756944,0.11320074589642606
2320,ATPAF1,0.03443956842049001,0.11377357424626164
1688,MARK2,0.034391958069054596,0.11377357424626164
2567,DYNC1H1,0.034413097434888296,0.11377357424626164
3065,NDUFV2,0.03466333478662598,0.11441992910102818
1963,ABCB8,0.03472560030809613,0.1144398325942925
3640,AL022342.1,0.03472366130860671,0.1144398325942925
2442,CITED4,0.034856340734581104,0.11477775630238277
2812,IGHG2,0.0350258519047798,0.11524269785970395
1719,NBAS,0.03514235077107619,0.11550121760012401
1505,CUL4A,0.03516118147581171,0.11550121760012401
2222,AL365226.2,0.03524226099350847,0.11553803246147423
1464,CCDC12,0.03525755192067592,0.11553803246147423
3604,NFIX,0.03520756372057299,0.11553803246147423
1394,ALDH7A1,0.03538809281875588,0.11587251630920066
1482,CKLF,0.035427480006472445,0.11590823442632062
2512,CYB5A,0.03559621380937217,0.11636673911979495
3644,AL136380.1,0.035651588881246865,0.11645422692349498
2912,LYPD1,0.03574132752824022,0.11656025884610391
2533,DDX23,0.03572161020400655,0.11656025884610391
1009,KIF5B,0.035901442168918996,0.11680165437849746
1362,AC105399.1,0.03585943089695509,0.11680165437849746
1660,KIAA1522,0.03588763800918515,0.11680165437849746
4015,NBPF20,0.03594360397859553,0.11684542187930015
959,IRAK1,0.03600160846726519,0.11694057977794839
995,KDM3A,0.03614206033462164,0.11723957256823485
1489,COG8,0.0361512686911879,0.11723957256823485
1610,GTPBP6,0.036204249095106666,0.11731790909003513
1177,MPEG1,0.03661150450753725,0.11854321666322722
3862,AL138721.1,0.03674262064017242,0.11887318442408724
2435,CHRAC1,0.03681800942642044,0.1189280145758184
2875,KTN1,0.036814002670743085,0.1189280145758184
778,GBF1,0.03698600235589866,0.11937591561340806
1738,NONO,0.03708173695980155,0.11959007086084969
1562,ETV6,0.03752200261153771,0.12091413351461479
1580,FOXK2,0.037552275972044136,0.12091595190365476
1466,CCNY,0.0377940204505951,0.12159815275408858
1472,CDC37,0.03783276471153829,0.12162666064451884
3620,AC034268.1,0.03798140324778243,0.12200813829398144
3925,DPCR1,0.03809239704829093,0.12226818295468776
2514,CYBA,0.03827906552377158,0.1225018790575473
2749,HCLS1,0.03828559954820643,0.1225018790575473
1425,ATN1,0.038273078599349586,0.1225018790575473
1582,FTH1P3,0.03826277808523715,0.1225018790575473
4043,FAM213B,0.038385361148919106,0.12272460320196446
70,ACP1,0.038435869782048715,0.12278963109335814
3262,C11orf95,0.038468421912554396,0.12279723700713442
1615,HDAC1P2,0.03868243518168146,0.12338362945881155
1376,ADAM9,0.0387361346444256,0.12345815818544416
123,AL035398.1,0.0388052589927369,0.12348506966414322
1128,MDH1,0.03877933089886465,0.12348506966414322
2336,BHLHE40,0.03889840521642396,0.12368477283659807
1604,GRASP,0.03898219462945074,0.12385443570793483
1381,AL031864.2,0.03951198374881271,0.1254397611994288
128,AL139039.2,0.03962604847031492,0.12570383263770984
3936,FCGBP,0.03994530094616322,0.1263248167202367
1570,FBN1,0.039930518317651265,0.1263248167202367
4023,NTM,0.03994595555748026,0.1263248167202367
2871,KRT23,0.03992238364645906,0.1263248167202367
1327,NR4A2,0.04007408024976933,0.12663160451596364
311,C1orf186,0.040135292530040445,0.1266823911268594
3137,AC022034.3,0.040152404067235525,0.1266823911268594
1971,AC004217.1,0.04022022546440884,0.1267980771805918
252,BACE1,0.040403991275688944,0.12727882700623375
961,IRS1,0.040507623476056964,0.1275065951643866
1620,HIST2H2AA4,0.04061091506526493,0.12762064152286914
4031,ATP6V0B,0.040637924180255136,0.12762064152286914
1974,AC004692.1,0.04062296149164224,0.12762064152286914
1884,GALNT14,0.04089381395322533,0.12832522959878728
3523,LRG1,0.04125412455579036,0.12935615326815622
1473,CDC42SE2,0.04161826221197451,0.13039748052558603
610,DYRK1A,0.04166668650869365,0.1304487800695255
1372,ACIN1,0.041855296959534716,0.13083798665538116
2914,M6PR,0.04182850538429117,0.13083798665538116
1559,ERRFI1,0.04219843023640368,0.1315723682430631
1698,MGAT5,0.042219536345317055,0.1315723682430631
1260,NCL,0.042215664494931526,0.1315723682430631
1578,FKBP9,0.04213132991940416,0.1315723682430631
1848,CPT1A,0.04229967080021302,0.1317212395997452
3646,AL592114.1,0.042338040208399486,0.13173992633653356
1439,BCAM,0.04241578697825732,0.13188101833575805
1740,NOTCH2,0.042462239606975705,0.13192466809190162
3964,ILK,0.042509411075755454,0.13197048289727284
2459,CNN1,0.04279669938862418,0.1323575733371584
3261,C10orf10,0.04278430305568304,0.1323575733371584
1513,DDOST,0.0427811620765054,0.1323575733371584
4033,C16orf89,0.04278785679602615,0.1323575733371584
1224,MUM1,0.04271247589178084,0.1323575733371584
108,AHSA2,0.04284491166473836,0.1324060671795635
2990,MSRB1,0.042880437230233714,0.13241531071855175
897,HNRNPC,0.043201321562256756,0.1333050635014291
2074,AC092597.1,0.043302000880861,0.13351450271598808
3842,AC004556.1,0.043381373901508646,0.13360487769178406
2801,ID3,0.04341978654775769,0.13360487769178406
1683,MAEA,0.04342979193764873,0.13360487769178406
2734,GSTM3,0.04352449446034268,0.1337950849347392
2790,HSPA5,0.04360194707928555,0.13384585101048743
2188,AL078595.1,0.04360678094346593,0.13384585101048743
2254,AMOTL1,0.04394682629698232,0.13478792993874758
2862,KLHDC2,0.04431811181774925,0.13582433365831284
3633,ACHE,0.04446297293808743,0.1361657636252941
1576,FKBP10,0.044508202116477324,0.1362017914391449
3027,MYL12B,0.04457854066107236,0.13631454582311384
608,DYNLL1,0.044685348330004815,0.13653856434168138
1678,LNPEP,0.04489184794218648,0.13706663250164963
748,FUCA1,0.045317084259778095,0.13815770257475418
151,AMN,0.045292218226060776,0.13815770257475418
2744,GYPC,0.04569007648941825,0.13919057732929063
1371,ACBD3,0.045768045624540066,0.13927267801387616
2310,ATP5E,0.0457854651554217,0.13927267801387616
2353,C12orf10,0.0459114954484543,0.1394476018471709
861,HBEGF,0.045897110652414086,0.1394476018471709
2654,FBXO9,0.04596521288773503,0.1394884344842528
1622,HLA.J,0.04599348380291579,0.1394884344842528
532,DBNL,0.046107672577135994,0.13973062352117907
724,FDFT1,0.04631304720152707,0.14004019473270074
2253,AMFR,0.046291674785910564,0.14004019473270074
3978,LAMB2,0.0462944669148424,0.14004019473270074
2762,HLA.DMA,0.04637546404897264,0.1401248245577718
2490,CSF1R,0.046444661020568656,0.14022979996566354
1823,ARID5A,0.0464982377401314,0.14028749266296128
2158,ADI1,0.046588694676271025,0.14045628691290596
239,ATXN10,0.04667588285394342,0.14051097870972612
45,AC090826.1,0.04665476540130331,0.14051097870972612
3018,MTPN,0.04701464150511936,0.14142615737312328
3093,NPIPB11,0.04709502091068485,0.14145884509703863
3521,LOXL1,0.04708100291646655,0.14145884509703863
3011,MTDH,0.047139841428038176,0.14148905207383142
2090,AC097713.2,0.04737013313794891,0.14207549143069423
3878,ASB1,0.04746868042563812,0.14226622189421734
1500,CSDE1,0.04752003976918573,0.1423153508907917
2287,ARAF,0.04762980521942495,0.14253919650224967
4053,KRT18P25,0.04784262421775243,0.14307088946822363
3656,ARHGAP45,0.0479525256397888,0.14329425796911927
1349,AC009041.2,0.048219331403695276,0.14398582451433586
402,CDV3,0.048377065690530574,0.14435092181851863
557,DENND4B,0.04853907434735305,0.14472822900639334
3996,MED25,0.0486379383199419,0.14481083318373336
2966,MMP23A,0.04860670145854962,0.14481083318373336
2308,ATP5B,0.048824952361274265,0.14526137142572096
2340,BLVRB,0.04953182302815906,0.14716982474574886
1723,NCOR2,0.049538737076578854,0.14716982474574886
1708,MT.ND3,0.04987281474875116,0.14805423488505998
1344,AC005519.1,0.04994081798151928,0.1481480533416789
3814,MPZL2,0.05001695510564308,0.148265846525832
2317,ATP6V1B2,0.05012642353055674,0.1484822007055065
791,GGT2,0.05041273152601877,0.14922168531701557
2705,GGTLC2,0.05046106584690302,0.14925620493960412
3364,DUSP1,0.05084156656820127,0.15016340778851897
1558,ERH,0.05081870361375407,0.15016340778851897
3096,NPIPB5,0.051116780147477225,0.1508667840465789
1596,GNAI2,0.0513056682405123,0.15131454328904717
230,ATP5EP2,0.05195600842721937,0.15272250680384294
1855,DNAJC1,0.05195892150878634,0.15272250680384294
3049,NCBP2.AS2,0.051880977344815005,0.15272250680384294
2077,AC092798.1,0.05200820501968706,0.15272250680384294
1680,LSM14A,0.051986048260966644,0.15272250680384294
2351,BX248409.1,0.05185338328225442,0.15272250680384294
2917,MAGED2,0.05215734700821473,0.1529960465759489
1444,BNIP3,0.05218462694931569,0.1529960465759489
2399,CD4,0.05221412990024399,0.1529960465759489
1082,LSM2,0.05256114224836406,0.1539020496049221
2149,ACTN4,0.052833230292067324,0.15458752500985912
1351,AC021016.1,0.05288590966296336,0.15463049736225637
1670,LBH,0.053348955442302226,0.1556489237635628
2631,EXOSC10,0.053283199363539535,0.1556489237635628
3803,MACROD2,0.05334552971797657,0.1556489237635628
2441,CISD3,0.05345084759130181,0.15572294180143048
3082,NOP10,0.053425193503436,0.15572294180143048
1718,NAXD,0.05357161154828427,0.15596313233298784
1320,NPIPB2,0.0538152227207187,0.15642722566418696
2728,GRK3,0.05381779446879609,0.15642722566418696
767,GAPDHP1,0.053846325099637826,0.15642722566418696
4046,GPC3,0.05399412227291889,0.15663298478316456
32,AC025627.3,0.05397080779901631,0.15663298478316456
1642,IFNGR2,0.054154935626905876,0.15698759829167158
3628,AC099789.1,0.05442466577140015,0.15705557509248497
2451,CLMN,0.05427948649226222,0.15705557509248497
2463,CNOT6L,0.05437414818399988,0.15705557509248497
834,GRWD1,0.05439413555110295,0.15705557509248497
3468,HMGCR,0.05422449032091259,0.15705557509248497
2987,MRPS34,0.054448505271620706,0.15705557509248497
2393,CCNL2,0.054395062631397595,0.15705557509248497
96,AGAP1,0.054643519368752225,0.15739499209541513
3588,MYOM1,0.0546220486763378,0.15739499209541513
2477,COX14,0.05496921260064025,0.1581323276432437
2993,MST1P2,0.054977209733461874,0.1581323276432437
3935,FBXO32,0.05504324195832122,0.15821044828415773
3098,NPM1,0.05520120085800562,0.15855249646583122
3416,FGFR3,0.05538149974918294,0.15884900329363316
31,AC025459.1,0.055421519576648426,0.15884900329363316
2818,IGSF8,0.05538448538176899,0.15884900329363316
499,CTTN,0.05573534918545375,0.15952381939859125
2275,AP1M2,0.05572106037167268,0.15952381939859125
2115,AC114402.1,0.05605782658717395,0.16033405074476317
1503,CTSD,0.05620039809052102,0.16062894678962117
3070,NELFA,0.057169672041542774,0.16317010182964872
1179,MPV17L2,0.05714754945125822,0.16317010182964872
1501,CSTB,0.05732885084835637,0.16350975679944668
4014,NBPF19,0.05775118180146277,0.1645989565349814
1245,NACC1,0.05792499978728105,0.1649788307447403
1363,AC106872.3,0.05804126539787946,0.16507893093596743
1587,GAS5,0.0580176651351908,0.16507893093596743
3649,ANXA1,0.058127013022752694,0.16520736243198567
1608,GTF2F1,0.05820871302447017,0.1652088298532731
2594,EIF3A,0.05820180047667378,0.1652088298532731
1,AAK1,0.058257027967566155,0.16523073437490887
1469,CD164,0.05829850196636366,0.16523321936149032
3482,IGFBP4,0.05853687111250683,0.1657933649463485
2634,F3,0.05891120811569572,0.16662169355863904
2185,AL049780.1,0.0588754478161283,0.16662169355863904
268,BEST1,0.05916090833726417,0.1672117339810175
2337,BIRC2,0.05931691190674493,0.16753631607248567
1014,KLF6,0.05937628126219241,0.16758770092726985
299,C16orf58,0.05972550157548118,0.16845654290520332
3629,AC104212.2,0.059821344065535964,0.16861002101574196
841,GSTO3P,0.059863101487238723,0.16861095020973121
2615,ENY2,0.06005883113553667,0.1690452577604663
3092,NPIPA8,0.06031947869431531,0.16962072295818165
3470,HNRNPDL,0.06034663558807052,0.16962072295818165
2153,ADAMTS15,0.060659142789164955,0.1702639387254492
2295,ARL8A,0.060633283295540075,0.1702639387254492
2097,AC103975.1,0.06106775540751741,0.17129273915134105
291,C10orf76,0.06130459391339671,0.17183863445421804
2283,APOL6,0.061372684637615915,0.1719110987440446
1018,KPNA2,0.0617831269683673,0.1725711585471912
2669,FMOD,0.06173982456281801,0.1725711585471912
2056,AC087343.1,0.06169035778062659,0.1725711585471912
3987,LRFN4,0.061820331489386926,0.1725711585471912
