"","combinedPval","adjustedPval"
"A2M",1.19011203114638e-08,1.17083835002072e-05
"A4GALT",0.45476056376059,1
"AAAS",0.4470080096779,1
"AAK1",0.0277502669160303,0.744752085304812
"AAMDC",0.867724434738466,1
"AAMP",0.0244525448223062,0.674301494857166
"AARS",0.110905673088197,1
"AATF",0.462397648247911,1
"ABCA2",0.993094727148195,1
"ABCA7",0.929569808399556,1
"ABCA8",0.185621928444668,1
"ABCB8",0.00299328982965674,0.128304172143517
"ABCC3",0.124955586512288,1
"ABCD1",0.000635582222456632,0.0369671365708807
"ABCF1",0.990571981143073,1
"ABCF2",0.134270534452831,1
"ABCF3",0.820871305297834,1
"ABCG1",0.60428111940821,1
"ABHD10",0.82804205675826,1
"ABHD11",0.584613467418101,1
"ABHD12",0.125454155472932,1
"ABHD14B",0.00576149936688664,0.217119455325396
"ABHD17A",0.000203061075531696,0.015053632707323
"ABHD17AP3",0.0176699274692477,0.528873055571799
"ABHD17C",0.0860511011296661,1
"ABHD2",0.442249493127691,1
"ABHD4",0.476569033436468,1
"ABI2",0.017845154428297,0.53266252829574
"ABI3",0.0141899282152873,0.446274863813886
"ABL1",0.0317607798207875,0.821311488871075
"ABLIM1",0.125050497055959,1
"ABR",0.387208186072293,1
"ABT1",0.0976357593935175,1
"ABTB1",0.0336244916011195,0.855442032231115
"AC000081.1",1.53917044387608e-06,0.000381389133280506
"AC000089.1",5.76456697931604e-08,3.65869569498522e-05
"AC002075.2",2.0787465895622e-05,0.002960753753062
"AC002350.1",3.31122896257696e-06,0.0006338140516768
"AC002558.1",0.0452536781508068,1
"AC004057.1",1.15665603428461e-06,0.000319423885092118
"AC004069.1",0.0321861423569174,0.829346994955511
"AC004217.1",0.0846623288576664,1
"AC004223.1",1.71761365006518e-05,0.00255713504746307
"AC004386.1",1.14186704536223e-09,2.09691560347661e-06
"AC004448.1",0.000174519998110245,0.0135485786974327
"AC004448.2",2.43361000309417e-05,0.00325857010359019
"AC004453.1",1.43208554541641e-05,0.00221405068760294
"AC004552.1",1.27484231615682e-07,6.4055795591581e-05
"AC004556.1",0.165360744343798,1
"AC004692.1",0.138720691134698,1
"AC004801.2",0.000984275301494808,0.0521351153954974
"AC004884.1",0.171690511415154,1
"AC004890.1",0.000212573372939451,0.0155674102315194
"AC004910.1",0.334257284078159,1
"AC004938.1",2.20866759560456e-05,0.00307320454559959
"AC005019.1",7.98593078332743e-07,0.000258764831795704
"AC005099.1",0.00112787657717228,0.0587098848330689
"AC005165.2",1,1
"AC005253.1",0.106199597980069,1
"AC005262.1",0.394368941157533,1
"AC005336.2",0.270791340951884,1
"AC005519.1",0.00336095045070972,0.141712864726494
"AC005521.1",0.00293936487687774,0.126142194202838
"AC005534.2",0.00946418970086182,0.323510179911309
"AC005550.2",0.000607438247863246,0.0356165152527722
"AC005786.1",0.0262642504736064,0.713873747768251
"AC005840.1",3.38320073733911e-07,0.00013449954954559
"AC005912.1",5.79897284243014e-05,0.00573197707609949
"AC005944.1",0.0459704095346869,1
"AC006064.4",0.0253300084647383,0.694217982449626
"AC006122.1",0.0196649287544464,0.571422689913525
"AC006463.2",2.52929751054509e-06,0.000543574440125648
"AC006483.1",0.343111530788401,1
"AC006511.3",0.000289749318663213,0.0194116798016166
"AC006534.1",0.000216127934758781,0.0157639004062907
"AC006970.1",0.0229496757750194,0.643607800999944
"AC007016.1",0.260538602236357,1
"AC007066.1",0.00111661378479777,0.0582073690655899
"AC007160.1",0.000521118983531466,0.0313687257635054
"AC007182.2",2.12516467512636e-05,0.00297993875105122
"AC007279.1",0.000859874624538071,0.0470617560951238
"AC007283.2",0.00817759498403081,0.285286549429153
"AC007325.2",0.0955751721789755,1
"AC007365.2",0.00250662432723592,0.110858858386509
"AC007387.1",0.0067352798278858,0.244887726047296
"AC007389.2",5.74034221889619e-06,0.000984214557399425
"AC007537.1",0.00235363375963404,0.104991100014803
"AC007537.2",2.50975792697172e-05,0.00328970691649274
"AC007683.1",0.00705011398528366,0.254168309657964
"AC007686.1",0.393752328131852,1
"AC007688.1",0.0454442550436942,1
"AC007690.1",2.5518144359804e-06,0.000543574440125648
"AC007969.1",0.0195089420017831,0.567802165270823
"AC008021.1",0.00126355322395577,0.0641118731353094
"AC008026.1",2.42625910493732e-05,0.00325857010359019
"AC008026.2",5.46585100645869e-05,0.00550804900972802
"AC008038.1",0.000230253380098744,0.0163652516300601
"AC008065.1",0.000118936748521148,0.00989147960908087
"AC008155.1",0.153770077370953,1
"AC008158.1",0.0012380312728093,0.0636199628803669
"AC008412.1",0.0165735152853224,0.503851002666509
"AC008446.1",0.00455179864363564,0.18036269664058
"AC008481.1",1.83599173908533e-06,0.000445778285703758
"AC008481.2",0.584855277912566,1
"AC008494.1",0.00513569775996781,0.198498881459476
"AC008677.2",1.0496741176258e-06,0.00030138275529348
"AC008753.1",0.00342398994675996,0.143700960313378
"AC008799.1",4.31617639207182e-05,0.00460610614861246
"AC008802.1",4.90712448009134e-06,0.000845361053422814
"AC008953.1",0.000603240969804464,0.0354278316824651
"AC009041.2",0.271823190807222,1
"AC009078.2",9.78845099544046e-05,0.00843138917552904
"AC009088.4",0.595012479115373,1
"AC009220.1",8.34964893892121e-08,4.58689908458325e-05
"AC009245.1",6.03359755491084e-08,3.6996341771251e-05
"AC009362.1",4.77430243517318e-05,0.00493487705763109
"AC009413.1",0.000789074996863981,0.0440908746411396
"AC009961.3",0.00709041493004348,0.255044938777129
"AC010099.1",0.0070921879280903,0.255044938777129
"AC010234.1",0.780433310989625,1
"AC010301.1",0.00325790281574345,0.138173115226868
"AC010323.2",0.0326046923513039,0.837745121094065
"AC010343.1",3.81555749218165e-08,2.65453901988351e-05
"AC010468.1",6.84703969078271e-08,3.99526518897745e-05
"AC010503.4",0.378374282707907,1
"AC010677.1",8.80914794760823e-05,0.00781102802860506
"AC010733.1",3.96265254232198e-06,0.000707612256623248
"AC011444.4",0.12781224264859,1
"AC011495.1",1.82626549399822e-05,0.00268573563648404
"AC011506.1",5.06596326385056e-05,0.00520659537247601
"AC011825.1",0.0760611542410994,1
"AC011933.1",4.54026008718245e-05,0.00478873789634228
"AC011979.1",3.18470592701736e-05,0.00390022492031855
"AC012181.1",3.97060723233977e-06,0.000707612256623248
"AC012354.2",0.374963115694397,1
"AC012498.2",0.169504699270937,1
"AC012618.1",0.0359494444297568,0.900033742111757
"AC012618.2",0.0167190710359368,0.507423227069657
"AC012671.1",0.000671997853899153,0.0386501955898211
"AC013248.2",2.49570835750834e-05,0.00328318681420545
"AC013268.5",0.0330720406425948,0.845165801033628
"AC013356.1",0.00333849397818553,0.141259914110331
"AC013787.1",0.000571447885637455,0.0340022382631694
"AC015720.2",0.889808397639754,1
"AC015911.1",4.30100118437027e-05,0.00460349119941417
"AC015983.1",8.98695335149746e-07,0.00027788242554397
"AC016596.1",3.48907569502899e-11,1.40249828040278e-07
"AC016638.1",2.0890617016156e-05,0.00296258018489839
"AC016687.1",0.00747317742190379,0.26583906175175
"AC016691.1",0.000236569317271007,0.0167156362134832
"AC016700.2",8.42142891901432e-05,0.00751922567444451
"AC016712.1",0.000221799909455589,0.0159842440845279
"AC016734.1",0.00192929935263897,0.089597649442883
"AC016739.1",0.00677272516143401,0.24550897113476
"AC018475.1",0.000874973588032235,0.0476000877862365
"AC018523.1",0.0309935743655165,0.808648185995958
"AC018695.1",0.14891423835372,1
"AC018738.1",3.47459611037548e-05,0.00406116217365388
"AC018868.1",3.22793385092446e-05,0.00390560118031171
"AC019084.1",9.42841321569521e-05,0.00819935580447046
"AC019181.1",2.07435348986706e-06,0.00048730010040774
"AC019205.3",4.63785307445175e-05,0.00482990498140737
"AC020656.1",0.56576960275737,1
"AC020658.1",0.000244810806275586,0.0171940682985118
"AC020898.1",1.22983282446754e-08,1.17083835002072e-05
"AC020899.1",3.99924119874884e-05,0.00439760436602852
"AC020916.1",0.00546883101614937,0.207604163413252
"AC020917.1",0.00017636017427991,0.013603859314249
"AC020978.1",0.0358626298278875,0.898482030276783
"AC020983.1",0.0226233750619631,0.634949131575123
"AC021016.1",0.0151617041555838,0.469923668774849
"AC021074.1",0.00349481296305387,0.145659450797531
"AC021443.1",4.50034039367608e-07,0.000166132172200154
"AC021723.1",0.0242145941112374,0.670762032709339
"AC021739.1",0.0703555990910993,1
"AC022018.1",0.00044227228702165,0.0274445192606876
"AC022034.3",0.0301903805402881,0.794906978815312
"AC022210.1",0.000230077721523281,0.0163652516300601
"AC022431.1",7.97046495049081e-06,0.00135375012045601
"AC022483.2",0.000221441915701059,0.0159842440845279
"AC022558.1",0.0328338969252603,0.841840610031081
"AC022701.1",0.0011944057715999,0.0615530016893128
"AC022730.1",0.000198740306546208,0.014824452815989
"AC023424.2",9.63937910090085e-05,0.00832280066304154
"AC023906.1",0.000670932609944996,0.0386501955898211
"AC024293.1",5.94177823347586e-05,0.00584121343164257
"AC024619.4",0.00999692378811645,0.337055264383521
"AC024940.2",2.16270181863099e-06,0.000501386984457124
"AC024995.1",2.32789577685466e-05,0.00316603966254261
"AC025062.1",0.00220140912016764,0.100429668559367
"AC025154.2",0.0517762578893022,1
"AC025181.1",0.00426788824054336,0.171175244252097
