"","combinedPval","adjustedPval"
"A2M",0.76777968420295,1
"A4GALT",0.0564903609073217,1
"AAAS",0.923482079659703,1
"AAK1",0.0803015731087087,1
"AAMDC",0.317027241804062,1
"AAMP",0.320788135324884,1
"AARS",0.852120476155607,1
"AATF",0.94221910180985,1
"ABCA2",0.332325280951149,1
"ABCA7",0.749960662325549,1
"ABCA8",0.14811003885329,1
"ABCB8",0.0451391199656845,1
"ABCC3",0.637649316902759,1
"ABCD1",0.395174769307166,1
"ABCF1",0.582124208481046,1
"ABCF2",0.222090742003115,1
"ABCF3",0.4157525271455,1
"ABCG1",0.600895446993524,1
"ABHD10",0.039380879634642,1
"ABHD11",0.385510371740062,1
"ABHD12",0.0139453774345438,1
"ABHD14B",0.178604368759818,1
"ABHD17A",0.354488828125756,1
"ABHD17AP3",0.100871207117281,1
"ABHD17C",0.778841054206175,1
"ABHD2",0.218872013573962,1
"ABHD4",0.134091421689528,1
"ABI2",0.833991483275951,1
"ABI3",0.1922604149759,1
"ABL1",0.658929889219121,1
"ABLIM1",0.0881676263107847,1
"ABR",0.280836477098068,1
"ABTB1",0.117769011814463,1
"AC000081.1",0.169028492103555,1
"AC000089.1",0.022302384536534,1
"AC002075.2",0.0194386398946036,1
"AC002350.1",0.663171049512856,1
"AC002558.1",0.00658737860532677,1
"AC004057.1",0.029788156074512,1
"AC004069.1",0.472253376906638,1
"AC004217.1",0.00294193387453956,1
"AC004223.1",0.0405813271333282,1
"AC004386.1",0.0683292851638817,1
"AC004448.1",0.0128381024107491,1
"AC004448.2",0.128759528242612,1
"AC004453.1",0.085073979602307,1
"AC004552.1",0.0155971401027801,1
"AC004556.1",0.386021878607376,1
"AC004692.1",0.0166968062386862,1
"AC004801.2",0.189571237670401,1
"AC004884.1",0.0698348765365576,1
"AC004890.1",0.144760702814243,1
"AC004910.1",0.179499179832134,1
"AC004938.1",0.547474553916131,1
"AC005019.1",0.417221395928001,1
"AC005099.1",0.818503926762855,1
"AC005165.2",0.0339451906999995,1
"AC005253.1",0.017171215858884,1
"AC005262.1",0.0477292202765911,1
"AC005336.2",0.0410483355665866,1
"AC005519.1",0.403852380647528,1
"AC005521.1",0.00593019531586192,1
"AC005534.2",0.139802314538241,1
"AC005550.2",0.486705682972516,1
"AC005786.1",0.248953536544408,1
"AC005840.1",0.252942263366183,1
"AC005912.1",0.0520577992888512,1
"AC005944.1",0.291975219592177,1
"AC006064.4",0.896599478963067,1
"AC006122.1",0.0234204097711327,1
"AC006463.2",0.00822341537359828,1
"AC006483.1",0.0203487631886234,1
"AC006511.3",0.0416396191774993,1
"AC006534.1",0.0869663749647734,1
"AC006970.1",0.475299542707649,1
"AC007016.1",0.0153215268749776,1
"AC007066.1",0.00388042943520883,1
"AC007160.1",0.0954870738227358,1
"AC007182.2",0.998077568270076,1
"AC007279.1",0.00242058773732634,1
"AC007283.2",0.0269747764299197,1
"AC007365.2",0.013911041493723,1
"AC007387.1",0.00989732542680244,1
"AC007389.2",0.0267100894687591,1
"AC007537.1",0.514679324023678,1
"AC007537.2",0.35858559612403,1
"AC007683.1",0.565050116190068,1
"AC007686.1",0.984983049958226,1
"AC007688.1",0.0680728950601984,1
"AC007690.1",0.0770786752689792,1
"AC007969.1",0.0486661288158468,1
"AC008021.1",0.218534059535388,1
"AC008026.1",0.0195255341171839,1
"AC008026.2",0.0518633559467695,1
"AC008038.1",0.00679137601875912,1
"AC008065.1",0.0127905222525955,1
"AC008155.1",0.489196611841166,1
"AC008158.1",0.801144177775377,1
"AC008412.1",0.133272901160098,1
"AC008446.1",0.0179550548838883,1
"AC008481.1",0.141375565898188,1
"AC008481.2",0.799115050591091,1
