"","combined_pvalue","adjusted_pvalue"
"AC012671.1",0.0105612514506722,0.305905580549971
"AC013248.2",0.000712213341122148,0.0289943540149453
"AC013268.5",0.33470398349441,1
"AC013356.1",0.000121221384403625,0.00576274016413707
"AC013787.1",6.12105445396693e-06,0.000367844449450949
"AC015720.2",0.788001299341182,1
"AC015911.1",2.09971604647752e-06,0.000133500458170579
"AC015983.1",1.08801856413265e-14,1.98795051993077e-12
"AC016596.1",9.59512469478341e-10,9.40716393243567e-08
"AC016638.1",2.68944866377296e-11,3.35505555870942e-09
"AC016687.1",3.76126626564499e-05,0.00195968783062544
"AC016691.1",0.000232205747027758,0.0104354585937747
"AC016700.2",1.59066369982419e-05,0.000883958420166776
"AC016712.1",2.4007316781649e-05,0.00129436141559609
"AC016734.1",0.58329329458985,1
"AC016739.1",0.419410093899667,1
"AC018475.1",0.0417516096259121,0.971978512628162
"AC018523.1",0.38551540480641,1
"AC018695.1",0.42924110214028,1
"AC018738.1",2.22044604925031e-16,4.72526053957133e-14
"AC018868.1",5.55e-17,1.55645915461595e-14
"AC019084.1",0.000399512862260254,0.0171721677203774
"AC019181.1",8.58513744417255e-06,0.000496937408043761
"AC019205.3",0.0032265601251158,0.109733690925558
"AC020656.1",0.0978419544441201,1
"AC020658.1",0.238555903678749,1
"AC020898.1",5.55e-17,1.55645915461595e-14
"AC020899.1",3.27064344962658e-06,0.000202260832859512
"AC020916.1",7.14794889944415e-12,9.40336297895774e-10
"AC020917.1",0.14014535162245,1
"AC020978.1",0.000268413753005126,0.0118275845889028
"AC020983.1",0.0484313556672189,1
"AC021016.1",0.145037571174824,1
"AC021074.1",0.0448607027428654,1
"AC021443.1",0.000124916659139052,0.00593061654272806
"AC021723.1",0.717505997491602,1
"AC021739.1",0.343119852163955,1
"AC022018.1",0.0188994203061963,0.500532451172528
"AC022034.3",0.149588196770297,1
"AC022210.1",0.0416436648460159,0.970089808878237
"AC022431.1",1.17639231689282e-11,1.50916778637245e-09
"AC022483.2",1.15174896286874e-08,9.96818302525391e-07
"AC022558.1",1.85182300516118e-06,0.000118572911142594
"AC022701.1",9.95028416328481e-08,7.4374588754737e-06
"AC022730.1",0.459024205029862,1
"AC023424.2",2.16485475068584e-06,0.000137159884309281
"AC023906.1",0.000109109150461029,0.00522815768874875
"AC024293.1",1.11022302462516e-16,2.6080983497634e-14
"AC024619.4",0.146266958005957,1
"AC024940.2",9.61727482762242e-07,6.49115070855336e-05
"AC024995.1",2.22044604925031e-16,4.72526053957133e-14
"AC025062.1",0.000137292662861777,0.0064254313799035
"AC025154.2",0.692373818983031,1
"AC025181.1",0.63234974364505,1
"AC025458.1",0.000150896915387611,0.00699874571753935
"AC025459.1",0.00150318745157874,0.0558034518542154
"AC025518.1",5.08385823438928e-08,3.98094256062303e-06
"AC025627.3",0.151114461918879,1
"AC025750.2",0.00012989087751003,0.00614259201714765
"AC026254.2",5.55e-17,1.55645915461595e-14
"AC026366.1",5.79502937194665e-05,0.00291988436528715
"AC026403.1",0.234559154007503,1
"AC026436.1",5.55e-17,1.55645915461595e-14
"AC026979.1",4.35966778933317e-06,0.000266419583817615
"AC026979.3",0.867979053894578,1
"AC027309.2",0.605174961856304,1
"AC027575.1",0.000195737755969927,0.00892967952959011
"AC034207.1",0.338966114689068,1
"AC034236.1",0.000197497178008321,0.00898727894002402
"AC034268.1",0.082607231107298,1
"AC040162.2",0.139661828131315,1
"AC044787.1",2.54747061501082e-06,0.00015944679722575
"AC044810.1",0.0259305793950366,0.659237306188951
"AC046130.1",1.68989689408594e-06,0.000110353191647728
"AC062028.2",0.00581173063040952,0.18378662719056
"AC063943.2",0.00084317296288039,0.033264344912894
"AC064799.1",5.01491959070677e-10,5.13953376900073e-08
"AC067796.1",2.64233079860787e-14,4.6179720152429e-12
"AC067863.1",0.47437607002965,1
"AC067942.1",5.55e-17,1.55645915461595e-14
"AC068313.1",1.50837657297842e-06,9.88564831587167e-05
"AC068522.1",5.24589001926756e-05,0.00267297740706274
"AC068631.3",0.219813531830185,1
"AC068724.1",5.32129895702838e-13,7.85752967397575e-11
"AC069181.1",0.0687688027904508,1
"AC069213.3",0.169158577884798,1
"AC069218.1",0.294487390143741,1
"AC073072.2",2.23940206378614e-08,1.84966218994162e-06
"AC073111.5",0.33437628388132,1
"AC073335.1",0.0117717782143983,0.334262694871163
"AC073621.1",7.12212611950758e-05,0.003529565576887
"AC073648.4",0.0105710744655115,0.305945151099162
"AC073861.1",0.00270414755773629,0.0941562804837572
"AC073869.1",0.3550069680868,1
"AC073896.4",0.308554013559404,1
"AC074033.1",0.192063958216248,1
"AC074052.1",0.029785530667839,0.738557827824035
"AC074085.2",0.455508798696361,1
"AC074276.1",0.212792838667497,1
"AC078814.1",0.470159951069352,1
"AC078817.1",1.07913677993565e-13,1.69004773064668e-11
"AC079075.1",0.356778825855034,1
"AC079140.2",0.000834891721981146,0.0330313428133299
"AC079150.2",0.30511705803341,1
"AC079193.1",1.39112708019695e-08,1.17586507458813e-06
"AC079228.1",0.627192771053342,1
"AC079250.1",0.290123522887762,1
"AC079834.1",4.82502335515944e-05,0.00247245943045761
"AC079922.1",2.19804730439144e-06,0.000138776799693935
"AC084198.1",6.19174578763149e-05,0.0030939194774615
"AC087190.1",8.21565038222616e-14,1.30933430810148e-11
"AC087343.1",0.00150394247280616,0.0558034518542154
"AC087477.1",3.90608656530844e-11,4.74198368060509e-09
"AC087588.1",0.856653244860776,1
"AC087633.2",0.567188833669176,1
"AC087752.1",1.08174716073606e-07,8.03583957669354e-06
"AC090013.1",0.111550649710218,1
"AC090058.1",0.00875191969984201,0.26123728396359
"AC090114.1",5.55e-17,1.55645915461595e-14
"AC090255.1",0.129008816148338,1
"AC090311.1",0.440124696405793,1
"AC090498.1",2.54640024621722e-08,2.08419741843301e-06
"AC090515.1",0.466066163685533,1
"AC090543.2",9.34630151050442e-12,1.2162684650136e-09
"AC090589.1",1.35674091763516e-05,0.000760977233043348
"AC090602.1",7.16093850883226e-14,1.14629384549557e-11
"AC090680.1",2.22376992768947e-05,0.0012079531178769
"AC090686.1",9.10382880192628e-15,1.67183075943209e-12
"AC090826.1",0.465168852827095,1
"AC091042.1",0.000235491136337362,0.0105568775942112
"AC091133.5",0.0057575389218445,0.182391768356789
"AC091153.1",5.55e-17,1.55645915461595e-14
"AC091167.1",1.4432899320127e-15,2.85323109083406e-13
"AC091179.1",5.55e-17,1.55645915461595e-14
"AC091429.1",6.48682672022005e-08,5.00373048836555e-06
"AC091685.2",5.6690268602777e-06,0.000341815474271214
"AC091839.1",0.0425365534125876,0.986443361915382
"AC091959.1",0.250630641235639,1
"AC091982.1",0.0243256614375762,0.625467885581345
"AC092017.1",0.883588396972672,1
"AC092017.2",6.18718804479279e-06,0.000371202129323535
"AC092069.1",0.00222633078521128,0.0793520415760103
"AC092118.1",0.873740298999853,1
"AC092128.1",0.381459789325684,1
"AC092155.2",0.911525501114527,1
"AC092171.3",0.176809327528915,1
"AC092431.2",6.37785380064315e-11,7.54028200312607e-09
"AC092573.1",0.480973375730867,1
"AC092597.1",8.15810752285984e-11,9.5205532510331e-09
"AC092610.1",0.0121961284467531,0.344166360917612
